"yORF"	"GFP tagged?"	"GFP visualized?"	"TAP visualized?"	"abundance"	"error"	"localization summary"	"ambiguous"	"mitochondrion"	"vacuole"	"spindle pole"	"cell periphery"	"punctate composite"	"vacuolar membrane"	"ER"	"nuclear periphery"	"endosome"	"bud neck"	"microtubule"	"Golgi"	"late Golgi"	"peroxisome"	"actin"	"nucleolus"	"cytoplasm"	"ER to Golgi"	"early Golgi"	"lipid particle"	"nucleus"	"bud"
"YER117W"	"tagged"	"visualized"	"not TAP visualized"	"not visualized"	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YER118C"	"tagged"	"visualized"	"TAP visualized"	2330	"NA"	"bud neck,cytoplasm,cell periphery"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YER120W"	"tagged"	"visualized"	"TAP visualized"	3500	"NA"	"ER"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YER122C"	"tagged"	"visualized"	"TAP visualized"	1510	"NA"	"Golgi,early Golgi"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"
"YER123W"	"tagged"	"visualized"	"TAP visualized"	1320	"NA"	"vacuole"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YER124C"	"tagged"	"visualized"	"TAP visualized"	3080	"NA"	"bud neck"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YER126C"	"tagged"	"visualized"	"TAP visualized"	8660	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YER128W"	"tagged"	"visualized"	"TAP visualized"	967	"NA"	"ambiguous"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YER129W"	"tagged"	"visualized"	"TAP visualized"	752	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YER131W"	"tagged"	"visualized"	"TAP visualized"	503000	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YER132C"	"tagged"	"visualized"	"TAP visualized"	815	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YER133W"	"tagged"	"visualized"	"TAP visualized"	14600	"NA"	"cytoplasm,nucleus,punctate composite"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YER134C"	"tagged"	"visualized"	"TAP visualized"	6190	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YER136W"	"tagged"	"visualized"	"TAP visualized"	7280	"967.0"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YER139C"	"tagged"	"visualized"	"TAP visualized"	5480	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YER140W"	"tagged"	"visualized"	"not TAP visualized"	"not visualized"	"NA"	"ambiguous"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YER141W"	"tagged"	"visualized"	"TAP visualized"	"technical problem"	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YER142C"	"tagged"	"visualized"	"TAP visualized"	"technical problem"	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YER143W"	"tagged"	"visualized"	"TAP visualized"	6510	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YER145C"	"tagged"	"visualized"	"TAP visualized"	8370	"NA"	"cell periphery"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YER147C"	"tagged"	"visualized"	"TAP visualized"	907	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YER148W"	"tagged"	"visualized"	"TAP visualized"	"low signal"	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YER149C"	"tagged"	"visualized"	"TAP visualized"	7820	"NA"	"ambiguous,cell periphery,bud"	"T"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"
"YER150W"	"tagged"	"visualized"	"not TAP visualized"	"not visualized"	"NA"	"vacuole"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YER151C"	"tagged"	"visualized"	"TAP visualized"	2210	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YER152C"	"tagged"	"visualized"	"TAP visualized"	1390	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YER153C"	"tagged"	"visualized"	"TAP visualized"	468	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YER154W"	"tagged"	"visualized"	"TAP visualized"	6550	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YER155C"	"tagged"	"visualized"	"TAP visualized"	1230	"NA"	"bud neck,cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YER156C"	"tagged"	"visualized"	"TAP visualized"	6080	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YER157W"	"tagged"	"visualized"	"TAP visualized"	4140	"163.0"	"Golgi,early Golgi"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"
"YER159C"	"tagged"	"visualized"	"TAP visualized"	5130	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YER161C"	"tagged"	"visualized"	"TAP visualized"	1240	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YER162C"	"tagged"	"visualized"	"TAP visualized"	876	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YER163C"	"tagged"	"visualized"	"TAP visualized"	1300	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YER164W"	"tagged"	"visualized"	"TAP visualized"	1620	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YER165W"	"tagged"	"visualized"	"TAP visualized"	198000	"48500.0"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YER166W"	"tagged"	"visualized"	"TAP visualized"	"low signal"	"NA"	"late Golgi"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YER167W"	"tagged"	"visualized"	"not TAP visualized"	"not visualized"	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YER168C"	"tagged"	"visualized"	"TAP visualized"	13500	"2310.0"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YER169W"	"tagged"	"visualized"	"TAP visualized"	2230	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YER170W"	"tagged"	"visualized"	"TAP visualized"	704	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YER171W"	"tagged"	"visualized"	"TAP visualized"	14400	"1300.0"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YER172C"	"tagged"	"visualized"	"TAP visualized"	1440	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YER173W"	"tagged"	"visualized"	"TAP visualized"	752	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YER174C"	"tagged"	"visualized"	"TAP visualized"	7800	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YER175C"	"tagged"	"visualized"	"TAP visualized"	937	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YER176W"	"tagged"	"visualized"	"TAP visualized"	736	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YER177W"	"tagged"	"visualized"	"TAP visualized"	158000	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YER178W"	"tagged"	"visualized"	"TAP visualized"	100000	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YER182W"	"tagged"	"visualized"	"TAP visualized"	1920	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YER183C"	"tagged"	"visualized"	"TAP visualized"	468	"NA"	"ambiguous"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFL001W"	"tagged"	"visualized"	"TAP visualized"	5860	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YFL002C"	"tagged"	"visualized"	"TAP visualized"	5740	"NA"	"nucleolus,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"T"	"F"
"YFL004W"	"tagged"	"visualized"	"TAP visualized"	2910	"NA"	"ER"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFL006W"	"tagged"	"visualized"	"TAP visualized"	1500	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YFL007W"	"tagged"	"visualized"	"TAP visualized"	2600	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YFL008W"	"tagged"	"visualized"	"TAP visualized"	5710	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YFL010C"	"tagged"	"visualized"	"TAP visualized"	6020	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YFL013C"	"tagged"	"visualized"	"TAP visualized"	1390	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YFL014W"	"tagged"	"visualized"	"TAP visualized"	4490	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YFL016C"	"tagged"	"visualized"	"TAP visualized"	7570	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFL017C"	"tagged"	"visualized"	"TAP visualized"	2550	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YFL017W-A"	"tagged"	"visualized"	"TAP visualized"	1400	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YFL018C"	"tagged"	"visualized"	"TAP visualized"	24600	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFL021W"	"tagged"	"visualized"	"TAP visualized"	1180	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YFL023W"	"tagged"	"visualized"	"TAP visualized"	1300	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YFL024C"	"tagged"	"visualized"	"TAP visualized"	1110	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YFL025C"	"tagged"	"visualized"	"TAP visualized"	"technical problem"	"NA"	"ER"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFL026W"	"tagged"	"visualized"	"TAP visualized"	"technical problem"	"NA"	"vacuole"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFL027C"	"tagged"	"visualized"	"TAP visualized"	573	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFL028C"	"tagged"	"visualized"	"TAP visualized"	1620	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YFL029C"	"tagged"	"visualized"	"TAP visualized"	"technical problem"	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YFL030W"	"tagged"	"visualized"	"TAP visualized"	339	"NA"		"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFL031W"	"tagged"	"visualized"	"TAP visualized"	8970	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YFL033C"	"tagged"	"visualized"	"TAP visualized"	"low signal"	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YFL034C-A"	"tagged"	"visualized"	"TAP visualized"	74700	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YFL034C-B"	"tagged"	"visualized"	"TAP visualized"	2250	"NA"	"cytoplasm,cell periphery"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YFL034W"	"tagged"	"visualized"	"TAP visualized"	1110	"NA"	"ambiguous"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFL036W"	"tagged"	"visualized"	"not TAP visualized"	"not visualized"	"NA"	"punctate composite"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFL041W"	"tagged"	"visualized"	"TAP visualized"	2840	"NA"	"vacuolar membrane"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFL044C"	"tagged"	"visualized"	"TAP visualized"	2770	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YFL045C"	"tagged"	"visualized"	"TAP visualized"	3500	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YFL046W"	"tagged"	"visualized"	"TAP visualized"	"low signal"	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFL047W"	"tagged"	"visualized"	"TAP visualized"	1750	"NA"	"bud neck,cytoplasm,cell periphery"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YFL048C"	"tagged"	"visualized"	"TAP visualized"	2900	"NA"	"vacuolar membrane"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFL049W"	"tagged"	"visualized"	"TAP visualized"	3180	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YFL062W"	"tagged"	"visualized"	"TAP visualized"	"technical problem"	"NA"	"vacuole"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFR001W"	"tagged"	"visualized"	"TAP visualized"	3650	"NA"	"nucleolus,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"T"	"F"
"YFR002W"	"tagged"	"visualized"	"TAP visualized"	15500	"NA"	"nuclear periphery"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFR004W"	"tagged"	"visualized"	"TAP visualized"	16400	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YFR005C"	"tagged"	"visualized"	"TAP visualized"	167	"22.0"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YFR006W"	"tagged"	"visualized"	"not TAP visualized"	"not visualized"	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YFR008W"	"tagged"	"visualized"	"TAP visualized"	486	"NA"	"ambiguous"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YFR009W"	"tagged"	"visualized"	"TAP visualized"	14600	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YFR010W"	"tagged"	"visualized"	"TAP visualized"	6770	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YFR011C"	"tagged"	"visualized"	"TAP visualized"	3550	"NA"	"cytoplasm,mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YFR013W"	"tagged"	"visualized"	"TAP visualized"	1770	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
