YAL001C	YMR192W
YJL073W	YOR195W
YJL074C	YFR031C
YJL076W	YLL021W
YJL078C	YKR013W
YJL080C	YML109W
YJL081C	YFL039C
YJL085W	YLR086W
YJL088W	YJL130C
YJL089W	YMR280C
YJL092W	YOL095C
YJL095W	YLR362W
YJL102W	YLR069C
YJL103C	YPL133C
YJL106W	YGR040W
YJL107C	YER033C
YJL111W	YDR212W
YJL122W	YPR018W
YJL124C	YNL147W
YJL126W	YLR351C
YJL127C	YDL099W
YJL128C	YOR231W
YJL130C	YJR109C
YJL141C	YPL031C
YJL143W	YDL217C
YJL145W	YKL091C
YJL146W	YBL085W
YJL158C	YJL159W
YJL159W	YKL164C
YJL162C	YMR161W
YJL172W	YMR027W
YJL187C	YDL028C
YJL190C	YLR367W
YJL193W	YOR307C
YJL194W	YML065W
YJL197W	YER144C
YJL200C	YLR304C
YJL204C	YLR309C
YJL212C	YPR194C
YJL214W	YDR343C
YJL216C	YOL157C
YJL219W	YOL156W
YJL221C	YIL172C
YJL223C	YIL176C
YJR001W	YNL101W
YJR005W	YKL135C
YJR021C	YNL250W
YJR022W	YJL124C
YJR027W	YER138C
YJR032W	YLR216C
YJR035W	YDR334W
YJR036C	YER125W
YJR043C	YJR002W
YJR052W	YJR090C
YJR056C	YLR135W
YJR058C	YLR170C
YJR062C	YLR351C
YJR065C	YFL039C
YJR068W	YOL094C
YJR072C	YLR243W
YJR089W	YOR195W
YJR092W	YPL085W
YJR094C	YMR173W
YJR097W	YER048C
YJR102C	YGL173C
YJR112W	YBL047C
YJR113C	YJR123W
YJR116W	YPR114W
YJR119C	YER169W
YJR125C	YDL161W
YJR126C	YOR256C
YJR129C	YNL024C
YJR134C	YDR356W
YJR135C	YEL061C
YJR135W-A	YHR005C-A
YJR137C	YLR035C
YJR143C	YDL095W
YJR150C	YJR151C
YJR152W	YLR004C
YJR155W	YDL243C
YJR156C	YDL244W
YKL002W	YKL041W
YKL005C	YPL181W
YKL009W	YLR340W
YKL010C	YGL141W
YKL012W	YPR152C
YKL015W	YIL130W
YKL016C	YDL058W
YKL017C	YLR430W
YKL018W	YLR222C
YKL021C	YCR072C
YKL022C	YHR166C
YKL024C	YDR226W
YKL025C	YJR030C
YKL034W	YOL013C
YKL041W	YOR198C
YKL042W	YGL086W
YKL046C	YMR238W
YKL048C	YER129W
YKL049C	YNL031C
YKL055C	YIR036C
YKL061W	YCR011C
YKL064W	YFL050C
YKL071W	YIR036C
YKL073W	YEL030W
YKL078W	YGL120C
YKL079W	YPL155C
YKL081W	YPL048W
YKL082C	YDL058W
YKL088W	YKR072C
YKL092C	YOL081W
YKL099C	YBL047C
YKL101W	YDR507C
YKL104C	YMR085W
YKL106W	YLR027C
YKL107W	YNL181W
YKL116C	YNR047W
YKL120W	YPR021C
YKL124W	YMR171C
YKL138C	YDR285W
YKL139W	YPR161C
YKL140W	YLR020C
YKL143W	YLR106C
YKL145W	YGL048C
YKL146W	YNL101W
YKL150W	YML125C
YKL152C	YDL021W
YKL154W	YGR094W
YKL165C	YJL062W
YKL171W	YCL024W
YKL173W	YOR133W
YKL174C	YGL077C
YKL179C	YJL074C
YKL181W	YBL068W
YKL182W	YKR009C
YKL188C	YPL147W
YKL193C	YJL005W
YKL195W	YGR196C
YKL196C	YLR268W
YKL197C	YNL329C
YKL205W	Q0140
YKL208W	YNL311C
YKL209C	YLL015W
YKL211C	YNR033W
YKL212W	YOR109W
YKL213C	YCR072C
YKL217W	YMR088C
YKL219W	YDL248W
YKL220C	YOR381W
YKL221W	YNL125C
YKL222C	YOR172W
YKL224C	YIR041W
YKR001C	YLL001W
YKR007W	YOR362C
YKR008W	YDL070W
YKR009C	YDL114W
YKR010C	YMR086W
YKR014C	YNL093W
YKR017C	YML068W
YKR020W	YDL058W
YKR024C	YMR290C
YKR026C	YLR291C
YKR035W-A	YLR309C
YKR043C	YKL152C
YKR046C	YFR016C
YKR054C	YDL058W
YKR055W	YNL180C
YKR064W	YOR363C
YKR066C	Q0140
YKR068C	YNL258C
YKR076W	YMR251W
YKR080W	YBR084W
YKR084C	YPR080W
YKR086W	YER013W
YKR090W	YLR106C
YKR099W	YPL089C
YKR101W	YBR275C
YKR102W	YHR211W
YKR103W	YLL048C
YKR104W	YLL048C
YLL005C	YOL084W
YLL006W	YPR091C
YLL013C	YGL014W
YLL018C	YNL073W
YLL019C	YJL141C
YLL023C	YLR064W
YLL025W	YLR037C
YLL027W	YPR067W
YLL028W	YOR273C
YLL029W	YER078C
YLL032C	YJL080C
YLL034C	YDL126C
YLL035W	YOR250C
YLL038C	YLR206W
YLL039C	YKR094C
YLL051C	YOR381W
YLL052C	YPR192W
YLL053C	YPR192W
YLL055W	YJR152W
YLL056C	YGL157W
YLL058W	YJR130C
YLL066C	YML133C
YLL066W-B	YLR466C-B
YLL067C	YLL066C
YLR002C	YPR141C
YLR006C	YHR206W
YLR008C	YNL328C
YLR009W	YGR148C
YLR014C	YLR278C
YLR016C	YLR238W
YLR017W	YLR209C
YLR023C	YOL002C
YLR025W	YJL049W
YLR026C	YOR036W
YLR032W	YOR191W
YLR034C	YHR050W
YLR035C	YNL082W
YLR035C-A	YER160C
YLR040C	YIL011W
YLR044C	YLR134W
YLR045C	YHR023W
YLR051C	YGR081C
YLR052W	YBL047C
YLR054C	YDR251W
YLR055C	YJL112W
YLR056W	YDR297W
YLR057W	YJR131W
YLR068W	YKL023W
YLR070C	YJR159W
YLR078C	YOR216C
YLR079W	YHL007C
YLR081W	YDR343C
YLR084C	YDR055W
YLR085C	YFL039C
YLR090W	YNL077W
YLR093C	YOR327C
YLR095C	YKL201C
YLR098C	YOR337W
YLR106C	YKR054C
YLR110C	YHR211W
YLR113W	YGR040W
YLR115W	YLR277C
YLR116W	YIL079C
YLR117C	YMR229C
YLR119W	YBL063W
YLR121C	YLR120C
YLR125W	YMR030W
YLR126C	YMR217W
YLR129W	YLR222C
YLR135W	YPL181W
YLR143W	YIL051C
YLR144C	YNR067C
YLR146C	YPR069C
YLR147C	YER112W
YLR148W	Q0140
YLR152C	YNL095C
YLR157C-B	YPL257W-B
YLR157W-E	YLR161W
YLR159C-A	YLR157C-C
YLR160C	YLR158C
YLR161W	YLR159W
YLR165C	YOL066C
YLR166C	YEL061C
YLR167W	YLL039C
YLR178C	YLR179C
YLR181C	YNL265C
YLR182W	YDL056W
YLR188W	YPL270W
YLR189C	YLR072W
YLR191W	YFR024C-A
YLR193C	YLR168C
YLR196W	YJL112W
YLR197W	YOR310C
YLR200W	YGR130C
YLR207W	YBL061C
YLR211C	YIL149C
YLR212C	YML085C
YLR214W	YNR060W
YLR219W	YIR019C
YLR221C	YOR216C
YLR227W-B	YPR158C-D
YLR229C	YPR165W
YLR237W	YOR192C
YLR240W	YLR305C
YLR241W	YMR266W
YLR243W	YOR262W
YLR246W	YNL326C
YLR247C	YOR191W
YLR251W	YOR292C
YLR253W	YPL109C
YLR254C	YDL058W
YLR256W	YAL051W
YLR256W-A	YML040W
YLR257W	YFR016C
YLR259C	YJL111W
YLR262C	YOR089C
YLR263W	YOR191W
YLR272C	YLR086W
YLR274W	YBL023C
YLR275W	YLR438C-A
YLR276C	YLL008W
YLR289W	YPR080W
YLR290C	YLL056C
YLR303W	YAL012W
YLR305C	YNL267W
YLR306W	YGL058W
YLR307W	YLR308W
YLR309C	YDL058W
YLR310C	YAL024C
YLR314C	YHR107C
YLR319C	YNL271C
YLR320W	YGR013W
YLR323C	YDL074C
YLR330W	YMR227C
YLR335W	YOR098C
YLR336C	YBR081C
YLR341W	YML007W
YLR343W	YMR307W
YLR345W	YIL107C
YLR347C	YBR017C
YLR348C	YKL120W
YLR359W	YPL262W
YLR360W	YDL058W
YLR361C	YOR137C
YLR364W	YCL035C
YLR369W	YEL030W
YLR372W	YCR034W
YLR380W	YKL091C
YLR382C	YBL076C
YLR383W	YFR031C
YLR386W	YAL016W
YLR389C	YPR122W
YLR396C	YGL095C
YLR401C	YNR015W
YLR405W	YML080W
YLR409C	YNL317W
YLR410W-B	YCL019W
YLR414C	YLR413W
YLR419W	YKL078W
YLR423C	YNL250W
YLR424W	YOR191W
YLR425W	YLR371W
YLR429W	YKR036C
YLR430W	YMR080C
YLR431C	YDL058W
YLR438C-A	YNL147W
YLR438W	YOL140W
YLR445W	YNL079C
YLR446W	YCL040W
YLR453C	YKL197C
YLR454W	YPR117W
YLR455W	YMR044W
YLR457C	YOR073W
YLR461W	YNR076W
YLR462W	YJL225C
YLR464W	YEL076C-A
YLR466W	YLR467W
YLR467W	YDR545W
YML001W	YFL038C
YML012W	YHR110W
YML017W	YCL032W
YML019W	YOR085W
YML020W	YMR160W
YML031W	YDR119W
YML035C	YJL070C
YML038C	YML018C
YML042W	YAR035W
YML045W	YDR316W-B
YML045W-A	YHR214C-C
YML052W	YDL222C
YML054C	YMR272C
YML062C	YDR356W
YML064C	YNL098C
YML069W	YNL206C
YML071C	YHR023W
YML072C	YOR086C
YML076C	YNR044W
YML092C	YOL038W
YML093W	YDL058W
YML096W	YPR145W
YML099C	YBR240C
YML102W	YBL008W
YML114C	YDL239C
YML117W	YPL184C
YML119W	YMR164C
YML120C	YMR145C
YML123C	YDL245C
YML131W	YBR046C
YML132W	YBR302C
YML133C	YLR467W
YMR001C	YDL028C
YMR006C	YMR008C
YMR012W	YML071C
YMR019W	YOR380W
YMR021C	YPR008W
YMR023C	YBR264C
YMR029C	YDR285W
YMR032W	YHR114W
YMR033W	YJL081C
YMR035W	YMR150C
YMR041C	YNL331C
YMR042W	YMR043W
YMR049C	YDL145C
YMR050C	YOR142W-B
YMR051C	YGR161C-C
YMR054W	YOR270C
YMR055C	YOL112W
YMR056C	YBL030C
YMR063W	YOL019W
YMR065W	YDR356W
YMR066W	YFR031C
YMR068W	YGR232W
YMR069W	YPR051W
YMR070W	YKL062W
YMR073C	YML054C
YMR075W	YNL097C
YMR076C	YOR112W
YMR077C	YNL250W
YMR078C	YOR217W
YMR083W	YOL086C
YMR093W	YPL151C
YMR095C	YFL060C
YMR096W	YFL059W
YMR097C	YER006W
YMR100W	YPL219W
YMR106C	YMR284W
YMR108W	YGR087C
YMR110C	YMR169C
YMR111C	YDL005C
YMR114C	YJR134C
YMR116C	YCR072C
YMR127C	YBL052C
YMR128W	YKR086W
YMR131C	YBR195C
YMR135C	YML007W
YMR136W	YIR013C
YMR138W	YBR164C
YMR144W	YHR023W
YMR146C	YCR072C
YMR152W	YBL069W
YMR157C	YDL224C
YMR159C	YOR195W
YMR161W	YNL064C
YMR162C	YER166W
YMR164C	YER109C
YMR166C	YNL003C
YMR167W	YNL082W
YMR168C	YKR064W
YMR169C	YMR170C
YMR172W	YMR164C
YMR176W	YJR119C
YMR179W	YKL062W
YMR182C	YGL209W
YMR190C	YBR142W
YMR197C	YDL234C
YMR210W	YPL095C
YMR212C	YGL086W
YMR213W	YKR099W
YMR214W	YNL064C
YMR215W	YOL030W
YMR216C	YPR161C
YMR217W	YJL130C
YMR219W	YLR106C
YMR223W	YBR058C
YMR229C	YBR112C
YMR241W	YJR095W
YMR244W	YKR042W
YMR247C	YML097C
YMR253C	YPL264C
YMR266W	YOL084W
YMR268C	YER165W
YMR270C	YBR130C
YMR272C	YNL111C
YMR276W	YLR167W
YMR277W	YHR154W
YMR278W	YMR105C
YMR280C	YIL130W
YMR287C	YDR293C
YMR288W	YBR097W
YMR291W	YFR014C
YMR293C	YBR208C
YMR294W	YDL058W
YMR296C	YDR062W
YMR300C	YKL104C
YMR301C	YPL270W
YMR303C	YOL086C
YMR304W	YIL156W
YMR306W	YGR032W
YMR313C	YOR081C
YMR314W	YGR253C
YMR316W	YOR385W
YMR317W	YIR019C
YMR321C	YPL273W
YMR322C	YPL280W
YMR323W	YPL281C
YNL002C	YPL198W
YNL006W	YPL151C
YNL007C	YNL064C
YNL012W	YMR008C
YNL016W	YHR086W
YNL018C	YNL034W
YNL019C	YNL033W
YNL021W	YGL194C
YNL022C	YBL024W
YNL025C	YPR025C
YNL027W	YDR216W
YNL030W	YBR009C
YNL031C	YBR010W
YNL032W	YNL099C
YNL035C	YEL056W
YNL037C	YOR136W
YNL040W	YOR335C
YNL041C	YNL250W
YNL042W	YNL183C
YNL045W	YKL157W
YNL054W	YFR019W
YNL054W-A	YPR137C-A
YNL056W	YNL099C
YNL059C	YFL039C
YNL064C	YNL077W
YNL065W	YIL121W
YNL081C	YML026C
YNL082W	YPL164C
YNL083W	YPR011C
YNL090W	YPR165W
YNL091W	YNL176C
YNL097C	YOR064C
YNL102W	YDL102W
YNL107W	YPL129W
YNL110C	YPR112C
YNL112W	YOR204W
YNL113W	YOL005C
YNL118C	YDL005C
YNL119W	YNL279W
YNL129W	YNR012W
YNL134C	YLR460C
YNL136W	YKL179C
YNL137C	YDL058W
YNL139C	YLR309C
YNL142W	YGR121C
YNL153C	YNL079C
YNL155W	YOR052C
YNL161W	YPR111W
YNL163C	YOR133W
YNL164C	YMR190C
YNL165W	YMR316W
YNL175C	YOL041C
YNL180C	YLR229C
YNL182C	YDL058W
YNL186W	YMR223W
YNL188W	YLR309C
YNL190W	YDR227W
YNL191W	YMR084W
YNL193W	YNL041C
YNL196C	YPL105C
YNL202W	YKR009C
YNL207W	YOR119C
YNL217W	YER133W
YNL218W	YNL290W
YNL219C	YGL142C
YNL221C	YFR031C
YNL230C	YOR227W
YNL231C	YNL264C
YNL233W	YDR085C
YNL238W	YOR003W
YNL242W	YDR285W
YNL244C	YJR014W
YNL247W	YPL160W
YNL250W	YDL058W
YNL251C	YBR212W
YNL253W	YNL317W
YNL255C	YIL079C
YNL268W	YEL063C
YNL272C	YNL091W
YNL274C	YOR388C
YNL284C-A	YNL284C-B
YNL284C-B	YMR045C
YNL286W	YPL190C
YNL287W	YDR238C
YNL289W	YDL127W
YNL290W	YJR068W
YNL295W	YPL159C
YNL304W	YER031C
YNL309W	YOR329C
YNL315C	YHR023W
YNL317W	YPR178W
YNL318C	YDR343C
YNL323W	YCR094W
YNL325C	YKL212W
YNL327W	YAL063C
YNL335W	YFL061W
YNR006W	YLR206W
YNR009W	YPR171W
YNR010W	YDL099W
YNR011C	YER013W
YNR013C	YCR037C
YNR030W	YOR149C
YNR032W	YDL047W
YNR036C	YPR132W
YNR037C	YOL040C
YNR038W	YHR065C
YNR051C	YIR019C
YNR055C	YBR043C
YNR058W	YLR438W
YNR060W	YKL220C
YNR063W	YHR056C
YNR065C	YJL222W
YNR066C	YJL222W
YNR068C	YMR275C
YNR069C	YMR275C
YNR073C	YEL070W
YNR075C-A	YAL067W-A
YNR075W	YFL062W
YNR076W	YLL064C
YOL001W	YIL050W
YOL003C	YNL326C
YOL006C	YDR464W
YOL007C	YNL058C
YOL012C	YDR225W
YOL013W-A	YOR072W-B
YOL015W	YKR015C
YOL018C	YOR036W
YOL020W	YKR039W
YOL022C	YHL007C
YOL027C	YPR125W
YOL030W	YMR307W
YOL031C	YDR166C
YOL033W	YGL245W
YOL034W	YJL074C
YOL036W	YJR151C
YOL041C	YPR112C
YOL047C	YOL048C
YOL051W	YBL113C
YOL054W	YLR032W
YOL055C	YPL258C
YOL061W	YER099C
YOL062C	YPL259C
YOL064C	YDR287W
YOL065C	YIL002C
YOL067C	YLR133W
YOL069W	YDL058W
YOL070C	YPL089C
YOL075C	YDR406W
YOL078W	YKR092C
YOL082W	YOL083W
YOL087C	YDR364C
YOL088C	YOR288C
YOL090W	YDR097C
YOL091W	YDL058W
YOL103W-A	YPR158C-C
YOL103W-B	YER138C
YOL109W	YLR106C
YOL111C	YEL037C
YOL116W	YMR172W
YOL119C	YOR306C
YOL123W	YER165W
YOL126C	YKL085W
YOL132W	YMR215W
YOL133W	YDL008W
YOL136C	YIL107C
YOL138C	YDL195W
YOL145C	YDL058W
YOL152W	YLR214W
YOL157C	YJL221C
YOL158C	YHL040C
YOL161C	YNR076W
YOL162W	YIL166C
YOL163W	YIL166C
YOL165C	YCR107W
YOR002W	YOR067C
YOR007C	YOR027W
YOR008C	YNL283C
YOR009W	YOR010C
YOR027W	YNL121C
YOR028C	YGR014W
YOR032C	YOR344C
YOR042W	YML097C
YOR044W	YDR275W
YOR046C	YKR059W
YOR049C	YLR046C
YOR059C	YGL144C
YOR069W	YDL058W
YOR070C	YPL249C
YOR071C	YLR237W
YOR075W	YBL063W
YOR080W	YBR155W
YOR090C	YBL056W
YOR093C	YDR436W
YOR094W	YDL137W
YOR100C	YPR021C
YOR106W	YDL058W
YOR112W	YJR151C
YOR113W	YJL056C
YOR117W	YKL145W
YOR119C	YBR245C
YOR124C	YDL058W
YOR130C	YPR058W
YOR132W	YBR152W
YOR140W	YHR206W
YOR141C	YMR033W
YOR144C	YNL250W
YOR150W	YNL069C
YOR151C	YOR207C
YOR158W	YDR228C
YOR159C	YER146W
YOR160W	YKL205W
YOR162C	YOR172W
YOR165W	YDL058W
YOR174W	YIL038C
YOR177C	YLR309C
YOR187W	YPR080W
YOR188W	YOR329C
YOR192C-A	YOR192C-B
YOR192C-B	YDR210W-B
YOR194C	YDL005C
YOR195W	YDL058W
YOR198C	YDL058W
YOR206W	YKR072C
YOR211C	YLL001W
YOR212W	YCR072C
YOR216C	YHR158C
YOR217W	YNL290W
YOR224C	YNL172W
YOR229W	YOR230W
YOR232W	YOR216C
YOR241W	YMR113W
YOR242C	YML117W
YOR246C	YIR035C
YOR249C	YNL271C
YOR254C	YJL073W
YOR261C	YFR004W
YOR264W	YCR089W
YOR267C	YNL183C
YOR269W	YLR129W
YOR272W	YIL046W
YOR273C	YGR138C
YOR275C	YPL084W
YOR283W	YJL155C
YOR285W	YOR286W
YOR287C	YIL149C
YOR288C	YCL043C
YOR297C	YLR164W
YOR298W	YJL005W
YOR303W	YJL130C
YOR308C	YNL136W
YOR319W	YNL004W
YOR328W	YOR153W
YOR329C	YDR409W
YOR334W	YPL060W
YOR339C	YGL058W
YOR341W	YOR116C
YOR348C	YPL265W
YOR351C	YDL101C
YOR353C	YAL021C
YOR357C	YJL036W
YOR362C	YGR253C
YOR367W	YPL242C
YOR369C	YDL208W
YOR372C	YMR280C
YOR378W	YML116W
YOR380W	YJL206C
YOR384W	YKL220C
YOR388C	YER081W
YOR389W	YPL277C
YOR390W	YPL279C
YOR391C	YPL280W
YOR396W	YLR467W
YPL003W	YPR180W
YPL009C	YPR018W
YPL010W	YJL024C
YPL015C	YDL042C
YPL020C	YDL058W
YPL029W	YJL050W
YPL033C	YLR426W
YPL040C	YBL076C
YPL042C	YKL139W
YPL043W	YPR112C
YPL050C	YML115C
YPL051W	YDL192W
YPL058C	YDR011W
YPL059W	YDR098C
YPL061W	YOR374W
YPL063W	YHR004C
YPL072W	YKR098C
YPL075W	YMR172W
YPL082C	YOR304W
YPL085W	YGR014W
YPL088W	YNL331C
YPL091W	YFL018C
YPL093W	YMR023C
YPL104W	YCR024C
YPL107W	YKL082C
YPL115C	YDL058W
YPL116W	YNL021W
YPL125W	YGL238W
YPL126W	YGL116W
YPL133C	YBR239C
YPL138C	YKR029C
YPL150W	YER129W
YPL151C	YPR178W
YPL154C	YDR144C
YPL155C	YGL216W
YPL156C	YDL010W
YPL158C	YMR317W
YPL159C	YPR151C
YPL169C	YPL213W
YPL172C	YNR041C
YPL174C	YKR095W
YPL178W	YIL061C
YPL179W	YML016C
YPL180W	YNL183C
YPL181W	YKL195W
YPL183C	YCR084C
YPL186C	YFL023W
YPL188W	YEL041W
YPL195W	YPR029C
YPL203W	YKL166C
YPL204W	YNL154C
YPL206C	YPL110C
YPL209C	YNR047W
YPL213W	YJL005W
YPL218W	YDL192W
YPL226W	YNL014W
YPL227C	YPR183W
YPL236C	YNL020C
YPL237W	YPR041W
YPL239W	YIL112W
YPL242C	YNL250W
YPL243W	YDR356W
YPL247C	YPR178W
YPL248C	YKL015W
YPL253C	YDL058W
YPL255W	YKR095W
YPL257W	YIL029C
YPL257W-A	YLR157C-A
YPL260W	YOR195W
YPL263C	YGR238C
YPL265W	YNL268W
YPL278C	YOR389W
YPL281C	YOR393W
YPL282C	YOR394W
YPL283C	YGR296W
YPR001W	YNR001C
YPR003C	YBR294W
YPR008W	YNL233W
YPR010C	YOR151C
YPR013C	YPR015C
YPR017C	YIL140W
YPR018W	YHR154W
YPR019W	YLR274W
YPR021C	YNL083W
YPR022C	YMR182C
YPR024W	YER017C
YPR027C	YNL019C
YPR031W	YJR119C
YPR034W	YJL081C
YPR047W	YFL022C
YPR049C	YDL058W
YPR054W	YHR030C
YPR055W	Q0140
YPR061C	YNL064C
YPR065W	YKL032C
YPR066W	YDR390C
YPR068C	YGL194C
YPR078C	YDL056W
YPR082C	YGR209C
YPR091C	YLR114C
YPR093C	YLR247C
YPR095C	YJR031C
YPR101W	YDR293C
YPR103W	YOR157C
YPR104C	YNL068C
YPR105C	YDL056W
YPR106W	YAR019C
YPR108W	YNL225C
YPR112C	YDL058W
YPR118W	YKR026C
YPR121W	YPL258C
YPR127W	YPL088W
YPR128C	YEL006W
YPR129W	YKR058W
YPR131C	YHR013C
YPR133C	YBR081C
YPR137C-A	YAR010C
YPR137C-B	YGR038C-B
YPR137W	YCR072C
YPR140W	YBR095C
YPR141C	YBL063W
YPR158C-C	YPL257W-A
YPR158W-A	YOR142W-A
YPR161C	YBR160W
YPR171W	YHR146W
YPR173C	YPL074W
YPR178W	YCR072C
YPR179C	YDR285W
YPR180W	YKL210W
YPR182W	YBL026W
YPR188C	YBR109C
YPR189W	YHR117W
YPR191W	YLR163C
YPR198W	YGR224W
YPR199C	YJL095W
YPR202W	YPL283C
YPR203W	YHL049C
YPR204W	YPL283C
Q0045	Q0070
Q0050	Q0055
Q0060	Q0070
Q0065	Q0070
Q0075	Q0060
Q0105	Q0120
Q0110	Q0120
Q0115	Q0120
Q0160	Q0110
Q0255	Q0115
YIR018W	YOL028C
YBL043W	YJR115W
YKR091W	YOR083W
YPL112C	YOR193W
YJL137C	YKR058W
YDR085C	YER158C
YIL135C	YNL074C
YDR273W	YOR042W
YKR078W	YOR069W
YGR239C	YHR160C
YKL093W	YMR081C
YDR480W	YPL049C
YPL130W	YOR214C
YDL239C	YNL225C
YLR266C	YOR172W
YFR039C	YGL228W
YHR206W	YJR147W
YKR077W	YOR066W
YDR303C	YHR056C
YER035W	YGL222C
YER045C	YIL036W
YBL059W	YER093C-A
YMR198W	YPL253C
YOR247W	YPL163C
YIR021W	YKL011C
YKL105C	YMR086W
YJL181W	YJR030C
YIL117C	YNL058C
YKR084C	YOR076C
YAL037W	YOR342C
YDL211C	YNL176C
YOR213C	YPL129W
YMR180C	YPL228W
YGR035C	YLR346C
YER028C	YGL209W
YAL028W	YOR324C
YLR457C	YPR174C
YFR012W	YOL019W
YHR146W	YNL173C
YGR142W	YPR158W
YGR230W	YHR152W
YCL037C	YDR515W
YBR273C	YJL048C
YBR182C	YPL089C
YPL250C	YMR195W
YDR259C	YOR028C
YDR223W	YLR223C
YKL050C	YMR031C
YGR041W	YLR353W
YBL054W	YER088C
YDR206W	YLR233C
YJL083W	YKR019C
YAL018C	YOL048C
YMR119W	YNL008C
YLL021W	YLR313C
YFR013W	YOL017W
YIL149C	YKR095W
YGR071C	YLR373C
YHL034C	YLL046C
YLR273C	YOR178C
YBR197C	YPL077C
YIL014W	YER001W
YDR492W	YOL101C
YGR188C	YJL013C
YMR264W	YML101C
YBR150C	YOL089C
YLR442C	YML065W
YGL133W	YPL216W
YBR278W	YJL065C
YGR049W	YLR356W
YKL062W	YMR037C
YDR146C	YLR131C
YGR221C	YHR149C
YHR133C	YNL156C
YCR052W	YNR023W
YDL226C	YNL204C
YFL042C	YLR072W
YGL096W	YPL177C
YDR309C	YHR061C
YBL009W	YGL021W
YDL204W	YDR233C
YMR206W	YNR014W
YMR192W	YPL249C
YDR379W	YOR127W
YJL105W	YKR029C
YKL133C	YMR115W
YEL007W	YHR177W
YML109W	YMR273C
YDL224C	YNL197C
YLR031W	YMR124W
YDL088C	YMR153W
YDR458C	YML034W
YHR131C	YNL144C
YCL051W	YDR528W
YDR501W	YLR183C
YML007W	YDR423C
YMR181C	YPL229W
YLR187W	YNL278W
YGR213C	YLR046C
YKL068W	YMR047C
YGR283C	YMR310C
YBL101C	YPR030W
YCR069W	YNR028W
YKL032C	YMR072W
YDR409W	YOR156C
YBR216C	YGL060W
YGL071W	YPL202C
YJL112W	YKR036C
YMR182C	YPL230W
YBL005W	YGL013C
YGL134W	YPL219W
YGL162W	YPR009W
YBR172C	YPL105C
YDR451C	YML027W
YDR066C	YER139C
YDR475C	YOR019W
YMR233W	YOR295W
YHR155W	YNL257C
YDR438W	YML018C
YDR147W	YLR133W
YBL091C-A	YER120W
YGL166W	YPR008W
YDR251W	YPL032C
YAL056W	YOR371C
YGR023W	YLR332W
YDR463W	YHR006W
YBL085W	YER114C
YBL061C	YER096W
YOR229W	YPL139C
YBR014C	YDL010W
YER054C	YIL045W
YKL141W	YMR118C
YDR264C	YOR034C
YDL070W	YLR399C
YFL018C	YPL017C
YDL214C	YNL183C
YFR022W	YOR018W
YLR277C	YOR179C
YHL012W	YKL035W
YKR075C	YOR062C
YKL043W	YMR016C
YDR490C	YOL100W
YJL165C	YKL168C
YAL051W	YOR363C
YDR326C	YHR080C
YDR389W	YOR134W
YIL158W	YKR100C
YAL015C	YOL043C
YJL110C	YKR034W
YER064C	YIL056W
YIR033W	YKL020C
YDR483W	YPL053C
YKL121W	YMR102C
YNL283C	YOL105C
YGL063W	YPL212C
YNL307C	YOL128C
YJL084C	YKR021W
YCR067C	YNR026C
YCL036W	YDR514C
YJR127C	YML081W
YDR132C	YLR108C
YDR151C	YLR136C
YDR096W	YER169W
YAL034C	YOR338W
YKL132C	YMR113W
YJR054W	YML047C
YER129W	YGL179C
YGR097W	YPR115W
YBR042C	YDR018C
YFR023W	YHR015W
YCR026C	YEL016C
YDR351W	YHR103W
YBR066C	YDR043C
YBL079W	YER105C
YGR238C	YHR158C
YCL043C	YDR518W
YJR061W	YKL201C
YBR284W	YJL070C
YDR069C	YER144C
YNL001W	YCL001W-B
YJL098W	YKR028W
YHR139C	YNL160W
YDR253C	YPL038W
YCL048W	YDR522C
YDR200C	YLR238W
YGL082W	YPL191C
YKL187C	YLR413W
YBR049C	YDR026C
YJL099W	YKR027W
YIL079C	YDL175C
YIL113W	YNL053W
YGL158W	YLR248W
YER132C	YGL197W
YBR241C	YGL104C
YGR273C	YMR295C
YLR284C	YOR180C
YML118W	YMR285C
YBR270C	YJL058C
YOR233W	YPL141C
YBL067C	YER098W
YOR256C	YPL176C
YDR125C	YLR099C
YGR004W	YLR324W
YLR456W	YPR172W
YOR227W	YPL137C
YGR197C	YJR015W
YIL156W	YKR098C
YAL053W	YOR365C
YBR005W	YDR003W
YFL048C	YLR080W
YIL151C	YKR096W
YBR140C	YOL081W
YBR238C	YGL107C
YML125C	YML087C
YCL011C	YNL004W
YKL072W	YMR053C
YDL109C	YGL144C
YDR144C	YLR120C
YDR348C	YHR097C
YER037W	YGL224C
YDR247W	YPL026C
YIL131C	YNL068C
YMR222C	YOR280C
YJR091C	YPR042C
YKR089C	YOR081C
YDR213W	YLR228C
YJR059W	YKL198C
YFR040W	YGL229C
YGR241C	YHR161C
YHR003C	YKL027W
YCR048W	YNR019W
YCL024W	YDR507C
YEL041W	YJR049C
YIL095W	YNL020C
YNL293W	YOL112W
YDL179W	YDL127W
YDL048C	YLR375W
YGR248W	YHR163W
YKR072C	YOR054C
YDL155W	YLR210W
YDR252W	YPL037C
YMR177W	YPL224C
YAL029C	YOR326W
YDR178W	YLR164W
YGR109C	YPR120C
YHL017W	YKL039W
YER027C	YGL208W
YDL222C	YNL194C
YDR358W	YHR108W
YGR056W	YLR357W
YGR070W	YLR371W
YHL035C	YLL048C
YJL134W	YKR053C
YIL114C	YNL055C
