P1	P2	Duplication	Sequence_identity
YDR247W	YPL026C	WGD	39.06
YLR448W	YML073C	WGD	94.32
YHR203C	YJR145C	WGD	100.0
YAL023C	YOR321W	WGD	62.48
YBL089W	YER119C	WGD	49.25
YDL226C	YNL204C	WGD	23.89
YDR223W	YLR223C	WGD	11.71
YMR230W	YOR293W	WGD	97.14
YJL136C	YKR057W	WGD	98.85
YPL130W	YOR214C	WGD	20.41
YCR026C	YEL016C	WGD	24.31
YKL187C	YLR413W	WGD	42.1
YGR038W	YLR350W	WGD	66.22
YJL110C	YKR034W	WGD	20.61
YDR151C	YLR136C	WGD	35.14
YNL307C	YOL128C	WGD	38.72
YGR043C	YLR354C	WGD	68.06
YCR034W	YJL196C	WGD	49.29
YBR020W	YDR009W	WGD	71.75
YDR146C	YLR131C	WGD	27.74
YDR358W	YHR108W	WGD	48.98
YAL030W	YOR327C	WGD	73.95
YHR135C	YNL154C	WGD	62.85
YBR001C	YDR001C	WGD	72.84
YKL032C	YMR072W	WGD	10.39
YCR069W	YNR028W	WGD	24.18
YDR251W	YPL032C	WGD	32.36
YCL037C	YDR515W	WGD	27.16
YDR111C	YLR089C	WGD	53.79
YDL022W	YOL059W	WGD	63.18
YDR368W	YOR120W	WGD	65.18
YGR085C	YPR102C	WGD	99.43
YBR278W	YJL065C	WGD	18.02
YMR198W	YPL253C	WGD	19.33
YBR121C	YPR081C	WGD	54.4
YCR052W	YNR023W	WGD	23.32
YGR070W	YLR371W	WGD	38.36
YDR436W	YML016C	WGD	45.58
YBR169C	YPL106C	WGD	75.61
YJR066W	YKL203C	WGD	66.27
YOR226C	YPL135W	WGD	68.48
YKL127W	YMR105C	WGD	78.95
YDR438W	YML018C	WGD	33.92
YBL043W	YJR115W	WGD	12.12
YER056C-A	YIL052C	WGD	98.35
YEL047C	YJR051W	WGD	56.31
YGR143W	YPR159W	WGD	62.14
YDL061C	YLR388W	WGD	91.07
YDL036C	YOL066C	WGD	42.33
YCR031C	YJL191W	WGD	96.38
YFR014C	YOL016C	WGD	52.06
YGR279C	YMR305C	WGD	59.08
YBR183W	YPL087W	WGD	52.2
YER064C	YIL056W	WGD	24.71
YDR034W-B	YBR056W-A	WGD	10.45
YDR144C	YLR120C	WGD	47.54
YDL021W	YOL056W	WGD	64.01
YHR141C	YNL162W	WGD	100.0
YIL085C	YNL029C	WGD	47.13
YBR210W	YGL054C	WGD	58.45
YNL283C	YOL105C	WGD	37.41
YKL068W	YMR047C	WGD	25.04
YHR117W	YNL121C	WGD	47.51
YGR097W	YPR115W	WGD	31.73
YJL112W	YKR036C	WGD	28.92
YBR024W	YBR037C	WGD	50.0
YER070W	YIL066C	WGD	78.52
YAL029C	YOR326W	WGD	45.77
YJR091C	YPR042C	WGD	39.56
YMR237W	YOR299W	WGD	53.47
YBR273C	YJL048C	WGD	23.26
YDR213W	YLR228C	WGD	40.99
YAL051W	YOR363C	WGD	36.91
YMR264W	YML101C	WGD	13.89
YCL040W	YDR516C	WGD	71.09
YOL091W	YBR148W	WGD	13.56
YGR188C	YJL013C	WGD	11.52
YBR177C	YPL095C	WGD	57.42
YER129W	YGL179C	WGD	15.03
YJR059W	YKL198C	WGD	32.08
YDR096W	YER169W	WGD	23.63
YGR192C	YJR009C	WGD	96.39
YBR054W	YDR033W	WGD	63.37
YGR238C	YHR158C	WGD	29.05
YBR052C	YDR032C	WGD	52.13
YJR148W	YHR208W	WGD	72.29
YKL091C	YMR079W	WGD	59.06
YAL028W	YOR324C	WGD	21.67
YDL181W	YDL130W-A	WGD	44.19
YDL239C	YNL225C	WGD	11.47
YGR243W	YHR162W	WGD	63.01
YMR192W	YPL249C	WGD	20.2
YDR343C	YHR094C	WGD	70.4
YAL062W	YOR375C	WGD	85.81
YBR145W	YOL086C	WGD	75.78
YCL024W	YDR507C	WGD	38.98
YLR437C	YML058W	WGD	17.2
YER039C	YGL225W	WGD	54.6
YBR284W	YJL070C	WGD	33.05
YHL012W	YKL035W	WGD	39.22
YCR048W	YNR019W	WGD	41.96
YGL063W	YPL212C	WGD	28.05
YKL072W	YMR053C	WGD	40.37
YDL012C	YBR016W	WGD	20.83
YGR138C	YPR156C	WGD	85.71
YNL096C	YOR096W	WGD	87.89
YER027C	YGL208W	WGD	41.27
YLR293C	YOR185C	WGD	95.45
YBR140C	YOL081W	WGD	42.39
YCR091W	YNR047W	WGD	36.92
YGR209C	YLR043C	WGD	77.88
YCR089W	YNR044W	WGD	14.46
YKL105C	YMR086W	WGD	19.83
YAL017W	YOL045W	WGD	45.07
YDL188C	YDL134C	WGD	88.33
YMR183C	YPL232W	WGD	71.19
YCR073W-A	YNR034W	WGD	74.38
YJL076W	YKR010C	WGD	14.31
YKL062W	YMR037C	WGD	23.89
YGR027C	YLR333C	WGD	99.07
YHR003C	YKL027W	WGD	44.79
YJL129C	YKR050W	WGD	33.49
YHR131C	YNL144C	WGD	26.54
YIL011W	YOR010C	WGD	37.59
YBL101C	YPR030W	WGD	27.85
YDR348C	YHR097C	WGD	31.47
YBR048W	YDR025W	WGD	100.0
YNL052W	YIL111W	WGD	62.99
YGL133W	YPL216W	WGD	23.32
YBR214W	YGL056C	WGD	55.01
YNL106C	YOR109W	WGD	52.17
YLR260W	YOR171C	WGD	46.39
YDR471W	YHR010W	WGD	99.26
YER132C	YGL197W	WGD	35.33
YBR216C	YGL060W	WGD	32.35
YDL082W	YMR142C	WGD	98.99
YIL095W	YNL020C	WGD	31.99
YLR441C	YML063W	WGD	96.86
YBL061C	YER096W	WGD	20.71
YDR085C	YER158C	WGD	14.19
YIL117C	YNL058C	WGD	26.0
YDR122W	YLR096W	WGD	41.1
YDR259C	YOR028C	WGD	18.69
YKR077W	YOR066W	WGD	16.38
YCR037C	YJL198W	WGD	63.72
YDR342C	YHR092C	WGD	77.91
YGR049W	YLR356W	WGD	27.94
YBR005W	YDR003W	WGD	42.99
YGL166W	YPR008W	WGD	9.48
YOR233W	YPL141C	WGD	31.8
YJL083W	YKR019C	WGD	23.96
YNL309W	YOL131W	WGD	5.7
YGR221C	YHR149C	WGD	23.9
YHR133C	YNL156C	WGD	29.52
YML125C	YML087C	WGD	48.25
YBL027W	YBR084C-A	WGD	100.0
YJL084C	YKR021W	WGD	33.55
YER074W	YIL069C	WGD	100.0
YCR024C-A	YEL017C-A	WGD	88.37
YDR178W	YLR164W	WGD	45.3
YGR141W	YPR157W	WGD	52.16
YDL161W	YLR206W	WGD	46.25
YDR185C	YLR168C	WGD	43.04
YHR139C	YNL160W	WGD	40.27
YOR231W	YPL140C	WGD	51.66
YNL108C	YOR110W	WGD	35.55
YBL009W	YGL021W	WGD	27.34
YBR181C	YPL090C	WGD	100.0
YNR034W-A	YCR075W-A	WGD	15.31
YER059W	YIL050W	WGD	29.48
YBL072C	YER102W	WGD	100.0
YGR213C	YLR046C	WGD	25.08
YJL165C	YKL168C	WGD	31.37
YBL054W	YER088C	WGD	22.47
YDL155W	YLR210W	WGD	39.67
YJL079C	YKR013W	WGD	40.3
YML118W	YMR285C	WGD	35.66
YBR241C	YGL104C	WGD	45.86
YLR174W	YNL009W	WGD	74.05
YDR326C	YHR080C	WGD	33.71
YHL001W	YKL006W	WGD	99.28
YLR277C	YOR179C	WGD	7.18
YGL076C	YPL198W	WGD	97.95
YAL038W	YOR347C	WGD	69.96
YFR023W	YHR015W	WGD	32.76
YCL051W	YDR528W	WGD	20.67
YGR124W	YPR145W	WGD	87.43
YER019C-A	YER087C-B	WGD	49.44
YKL093W	YMR081C	WGD	20.48
YDR125C	YLR099C	WGD	33.89
YOR222W	YPL134C	WGD	59.18
YDR107C	YLR083C	WGD	72.63
YBL056W	YER089C	WGD	54.66
YDR206W	YLR233C	WGD	19.12
YMR233W	YOR295W	WGD	35.65
YIL151C	YKR096W	WGD	40.77
YLR187W	YNL278W	WGD	26.39
YCL050C	YDR530C	WGD	57.7
YIL131C	YNL068C	WGD	24.59
YBR147W	YOL092W	WGD	54.72
YMR115W	YKL133C	WGD	30.18
YJR130C	YML082W	WGD	54.04
YNL302C	YOL121C	WGD	99.31
YGR248W	YHR163W	WGD	46.12
YBL030C	YBR085W	WGD	85.85
YGR197C	YJR015W	WGD	39.75
YBR118W	YPR080W	WGD	100.0
YJR054W	YML047C	WGD	26.4
YHL034C	YLL046C	WGD	22.15
YNL195C	YDL223C	WGD	4.97
YOR186W	YLR297W	WGD	16.99
YBR049C	YDR026C	WGD	27.89
YDR303C	YHR056C	WGD	21.2
YDR309C	YHR061C	WGD	25.88
YGR004W	YLR324W	WGD	38.29
YDR200C	YLR238W	WGD	30.33
YMR119W	YNL008C	WGD	22.43
YBL075C	YER103W	WGD	86.5
YCL011C	YNL004W	WGD	39.25
YJL138C	YKR059W	WGD	100.0
YBR089C-A	YPR052C	WGD	80.81
YJL177W	YKL180W	WGD	98.91
YNL301C	YOL120C	WGD	100.0
YIL133C	YNL069C	WGD	88.94
YBL069W	YER101C	WGD	68.91
YJR094W-A	YPR043W	WGD	100.0
YLR249W	YNL014W	WGD	82.84
YAL037W	YOR342C	WGD	21.75
YEL060C	YOR003W	WGD	38.11
YAL034C	YOR338W	WGD	36.71
YKR078W	YOR069W	WGD	16.93
YGL031C	YGR148C	WGD	96.77
YBL087C	YER117W	WGD	100.0
YGR092W	YPR111W	WGD	74.48
YER037W	YGL224C	WGD	40.43
YBL106C	YPR032W	WGD	50.71
YKL129C	YMR109W	WGD	68.9
YIL149C	YKR095W	WGD	20.04
YHR115C	YNL116W	WGD	41.63
YPR162C	YLR453C	WGD	8.79
YBR014C	YDL010W	WGD	33.33
YGR254W	YHR174W	WGD	95.19
YDR132C	YLR108C	WGD	37.38
YIL138C	YNL079C	WGD	51.26
YDR300C	YHR033W	WGD	65.97
YDR475C	YOR019W	WGD	26.98
YMR246W	YOR317W	WGD	60.6
YGL134W	YPL219W	WGD	27.79
YBR172C	YPL105C	WGD	25.57
YGL075C	YPL200W	WGD	5.68
YGR023W	YLR332W	WGD	32.3
YMR243C	YOR316C	WGD	50.74
YBL068W	YER099C	WGD	86.85
YNL087W	YOR086C	WGD	50.66
YGR071C	YLR373C	WGD	23.67
YDR312W	YHR066W	WGD	94.04
YBR182C	YPL089C	WGD	19.38
YML124C	YML085C	WGD	90.4
YEL022W	YJR031C	WGD	47.35
YDR252W	YPL037C	WGD	45.68
YKL163W	YJL159W	WGD	59.33
YMR008C	YOL011W	WGD	59.68
YER035W	YGL222C	WGD	19.1
YEL030W	YJR045C	WGD	78.54
YLR287C-A	YOR182C	WGD	100.0
YDR483W	YPL053C	WGD	34.92
YBR066C	YDR043C	WGD	20.37
YGR118W	YPR132W	WGD	100.0
YJL045W	YKL148C	WGD	82.19
YDL109C	YGL144C	WGD	42.8
YCL048W	YDR522C	WGD	36.9
YBL091C-A	YER120W	WGD	24.1
YGR142W	YPR158W	WGD	16.07
YGL135W	YPL220W	WGD	100.0
YBL059W	YER093C-A	WGD	18.18
YGL139W	YPL221W	WGD	59.59
YDR222W	YLR225C	WGD	47.34
YLR344W	YGR034W	WGD	99.21
YHR132W-A	YNL157W	WGD	42.35
YIL156W	YKR098C	WGD	27.5
YNL293W	YOL112W	WGD	36.07
YPL250C	YMR195W	WGD	29.25
YDR451C	YML027W	WGD	32.32
YBR238C	YGL107C	WGD	38.71
YKR084C	YOR076C	WGD	14.8
YJL181W	YJR030C	WGD	18.2
YIL114C	YNL055C	WGD	48.76
YOL036W	YIR016W	WGD	8.47
YOR256C	YPL176C	WGD	39.86
YMR206W	YNR014W	WGD	19.75
YKR075C	YOR062C	WGD	33.33
YIL113W	YNL053W	WGD	15.97
YFL034C-A	YLR061W	WGD	82.11
YMR242C	YOR312C	WGD	17.86
YFR013W	YOL017W	WGD	19.45
YAL015C	YOL043C	WGD	34.43
YDL085W	YMR145C	WGD	52.5
YHL035C	YLL048C	WGD	48.08
YBR031W	YDR012W	WGD	99.72
YCL036W	YDR514C	WGD	31.87
YDR418W	YEL054C	WGD	100.0
YNL001W	YCL001W-B	WGD	9.84
YKL201C	YJR061W	WGD	33.0
YBR197C	YPL077C	WGD	20.08
YBR042C	YDR018C	WGD	36.39
YIL123W	YNL066W	WGD	58.56
YDL075W	YLR406C	WGD	99.12
YDR341C	YHR091C	WGD	54.14
YLR029C	YMR121C	WGD	99.02
YDL191W	YDL136W	WGD	100.0
YJL105W	YKR029C	WGD	19.31
YEL006W	YIL006W	WGD	47.24
YGR169C-A	YJR005C-A	WGD	60.0
YML106W	YMR271C	WGD	72.05
YGR241C	YHR161C	WGD	35.78
YMR180C	YPL228W	WGD	12.99
YCR094W	YNR048W	WGD	53.92
YDR304C	YHR057C	WGD	45.41
YGR273C	YMR295C	WGD	32.85
YIL148W	YKR094C	WGD	100.0
YNL065W	YIL120W	WGD	32.73
YOR227W	YPL137C	WGD	39.21
YDR147W	YLR133W	WGD	29.83
YFR039C	YGL228W	WGD	18.1
YDR480W	YPL049C	WGD	16.59
YGR008C	YLR327C	WGD	62.79
YDR500C	YLR185W	WGD	93.18
YLR433C	YML057W	WGD	59.01
YLR449W	YML074C	WGD	52.83
YEL034W	YJR047C	WGD	90.45
YIL109C	YNL049C	WGD	52.72
YCL043C	YDR518W	WGD	38.84
YLR031W	YMR124W	WGD	5.09
YDL229W	YNL209W	WGD	99.35
YCL035C	YDR513W	WGD	47.92
YGR131W	YPR149W	WGD	61.49
YMR181C	YPL229W	WGD	22.22
YOR234C	YPL143W	WGD	99.07
YDR505C	YLR177W	WGD	37.2
YIL135C	YNL074C	WGD	25.1
YGL089C	YPL187W	WGD	46.11
YER028C	YGL209W	WGD	28.19
YMR177W	YPL224C	WGD	43.25
YHL017W	YKL039W	WGD	46.13
YMR194W	YPL249C-A	WGD	98.0
YBR104W	YPR058W	WGD	59.04
YBR191W	YPL079W	WGD	98.75
YKL104C	YMR085W	WGD	36.68
YOR237W	YPL145C	WGD	68.95
YGR180C	YJL026W	WGD	47.37
YFL004W	YPL019C	WGD	51.04
