P1_ID	P2_ID	Duplication_type	Monomer_P1	Monomer_P2	HM_P1	HM_P2	HET	P1_unspecific	P2_unspecific
YDL061C	YLR388W	WGD	NA	NA	NA	NA	NA	1	1
YBR145W	YOL086C	WGD	NA	NA	NA	4w6z_1,5env_1	NA	0	0
YJL099W	YKR027W	WGD	NA	NA	4wjw_1,4yg8_1	NA	NA	0	0
YDR458C	YML034W	WGD	NA	NA	NA	NA	NA	0	0
YDL161W	YLR206W	WGD	NA	NA	5ahv_1	NA	NA	0	0
YDR066C	YER139C	WGD	NA	5c2y_1	NA	NA	NA	0	1
YFR023W	YHR015W	WGD	NA	5d77_1,5d78_1	NA	NA	NA	0	0
YDR453C	YML028W	WGD	NA	NA	5ept_1	NA	NA	0	1
YJL079C	YKR013W	WGD	5ete_1,5jys_1	NA	NA	NA	NA	0	0
YEL047C	YJR051W	WGD	NA	5glg_1	NA	NA	NA	1	0
YAR042W	YDL019C	WGD	5h28_1	NA	NA	NA	NA	0	0
YKL032C	YMR072W	WGD	NA	NA	NA	5jgh_1,5jh0_1	NA	0	0
YBR052C	YDR032C	WGD	NA	NA	NA	5mp4_1	NA	0	0
YOR226C	YPL135W	WGD	NA	NA	NA	5t0v_1,5tre_1	NA	0	0
YJL105W	YKR029C	WGD	NA	NA	NA	NA	NA	0	0
