	complex name: list	gene id: list	data source: list	gene name: list
112	90S preribosome	YBL004W,YBR247C,YCL059C,YCR057C,YDL014W,YDL148C,YDR064W,YDR299W,YDR324C,YDR398W,YDR449C,YEL055C,YER082C,YER127W,YGL171W,YGR090W,YGR128C,YGR145W,YHR148W,YHR196W,YJL069C,YJL109C,YJR002W,YJR145C,YKR060W,YLL011W,YLR003C,YLR129W,YLR186W,YLR197W,YLR222C,YLR409C,YMR093W,YMR128W,YNL075W,YNL132W,YOL010W,YOR078W,YOR096W,YOR145C,YOR310C,YPL012W,YPL126W,YPL217C,YPL266W,YPR112C,YPR137W,YPR144C	benchshop	BFR2,BMS1,BUD21,CMS1,DIM1,DIP2,ECM16,EMG1,ENP1,ENP2,IMP3,IMP4,KRE33,KRR1,LCP5,MPP10,MRD1,NAN1,NOC4,NOP1,NOP14,NOP56,NOP58,PNO1,POL5,PWP2,RCL1,ROK1,RPS13,RPS4A,RPS7A,RRP12,RRP9,SOF1,UTP10,UTP13,UTP15,UTP18,UTP20,UTP21,UTP22,UTP30,UTP4,UTP5,UTP6,UTP7,UTP8,UTP9
113	Small ribosomal subunit processome, variant 1,Small ribosomal subunit processome, variant 2,Small ribosomal subunit processome, variant 3	YBL004W,YBR247C,YCL059C,YDL014W,YDL153C,YDL213C,YDR021W,YDR339C,YDR365C,YEL026W,YEL055C,YER082C,YER127W,YGL120C,YGL171W,YGR081C,YGR159C,YGR251W,YGR280C,YHR065C,YHR169W,YIL091C,YJL010C,YJL033W,YKL009W,YKL078W,YKL099C,YKL143W,YKR060W,YLL011W,YLR068W,YLR186W,YLR197W,YLR336C,YLR430W,YML093W,YMR128W,YMR229C,YMR290C,YNL132W,YNR054C,YOR004W,YOR078W,YOR287C,YOR310C,YPR112C,YPR137W	complex portal	BUD21,DBP8,DHR2,ECM16,EMG1,ENP1,ESF1,ESF2,FAL1,FCF1,FYV7,HAS1,HCA4,KRE33,KRR1,LCP5,LTV1,MRD1,MRT4,NOP1,NOP19,NOP56,NOP58,NOP6,NOP9,NSR1,POL5,PRP43,PXR1,ROK1,RRP3,RRP36,RRP5,RRP9,SAS10,SEN1,SGD1,SLX9,SNU13,SOF1,UTP11,UTP14,UTP20,UTP23,UTP25,UTP30,UTP7
114	wodaklab complex#13	YBL006C,YBR049C,YBR245C,YCR020W-B,YCR052W,YDR225W,YDR303C,YFR037C,YGR056W,YGR275W,YHR056C,YIL126W,YKR001C,YKR008W,YLR033W,YLR321C,YLR357W,YML127W,YMR033W,YMR091C,YOR156C,YPL082C,YPR034W	wodaklab	ARP7,ARP9,HTA1,HTL1,ISW1,LDB7,MOT1,NFI1,NPL6,REB1,RSC1,RSC2,RSC3,RSC30,RSC4,RSC58,RSC6,RSC8,RSC9,RTT102,SFH1,STH1,VPS1
115	RSC complex variant RSC2	YBL006C,YCR020W-B,YCR052W,YDR303C,YFR037C,YGR275W,YHR056C,YIL126W,YKR008W,YLR033W,YLR321C,YLR357W,YML127W,YMR033W,YMR091C,YPR034W	complex portal	ARP7,ARP9,HTL1,LDB7,NPL6,RSC2,RSC3,RSC30,RSC4,RSC58,RSC6,RSC8,RSC9,RTT102,SFH1,STH1
116	RSC complex variant RSC1	YBL006C,YCR020W-B,YCR052W,YDR303C,YFR037C,YGR275W,YHR056C,YIL126W,YKR008W,YLR033W,YLR321C,YML127W,YMR033W,YMR091C,YPR034W	complex portal	ARP7,ARP9,HTL1,LDB7,NPL6,RSC3,RSC30,RSC4,RSC58,RSC6,RSC8,RSC9,RTT102,SFH1,STH1
117	wodaklab complex#84	YBL007C,YBR263W,YHR114W,YLR337C,YMR109W,YOR181W	wodaklab	BZZ1,LAS17,MYO5,SHM1,SLA1,VRP1
118	PAN1 actin cytoskeleton-regulatory complex	YBL007C,YIR006C,YNL084C	complex portal	END3,PAN1,SLA1
119	putative Las17-Sla1-Vrp1 complex	YBL007C,YLR337C,YOR181W	benchshop	LAS17,SLA1,VRP1
120	SLAC complex	YBL007C,YOR181W	complex portal	LAS17,SLA1
121	HIR complex,wodaklab complex#161	YBL008W,YBR215W,YJR140C,YOR038C	complex portal,benchshop,wodaklab	HIR1,HIR2,HIR3,HPC2
122	wodaklab complex#721	YBL011W,YPR091C	wodaklab	SCT1,YPR091C
123	wodaklab complex#193	YBL014C,YCL048W,YCR024C	wodaklab	RRN6,SLM5,SPS22
124	RNA polymerase I transcription factor complex (GO)	YBL014C,YER148W,YJL025W,YKL125W,YML043C	benchshop	RRN11,RRN3,RRN6,RRN7,SPT15
125	RNA polymerase I core factor complex	YBL014C,YJL025W,YML043C	complex portal	RRN11,RRN6,RRN7
126	wodaklab complex#572	YBL015W,YLL061W	wodaklab	ACH1,MMP1
127	wodaklab complex#72	YBL017C,YBR121C,YDL112W,YKL182W,YLR312C,YPL231W	wodaklab	FAS1,FAS2,GRS1,PEP1,TRM3,YLR312C
128	CCAAT-binding factor complex	YBL021C,YGL237C,YKL109W,YOR358W	complex portal	HAP2,HAP3,HAP4,HAP5
129	CCAAT-binding factor complex,wodaklab complex#211	YBL021C,YGL237C,YOR358W	benchshop,wodaklab	HAP2,HAP3,HAP5
130	MCM complex,MCM complex (GO)	YBL023C,YBR202W,YEL032W,YGL201C,YLR274W,YPR019W	complex portal,benchshop	MCM2,MCM3,MCM4,MCM5,MCM6,MCM7
131	wodaklab complex#117	YBL023C,YER017C,YMR089C,YOL009C	wodaklab	AFG3,MCM2,MDM12,YTA12
132	RNA polymerase I upstream activating factor complex	YBL025W,YBR009C,YLR141W,YMR270C,YNL031C,YOR295W	complex portal	HHF1,HHT2,RRN10,RRN5,RRN9,UAF30
133	RNA polymerase I upstream activating factor complex (GO)	YBL025W,YLR141W,YMR270C,YOR295W	benchshop	RRN10,RRN5,RRN9,UAF30
134	U4/U6.U5 tri-snRNP complex	YBL026W,YBR055C,YBR152W,YDL098C,YDR243C,YDR378C,YDR473C,YEL026W,YER029C,YER112W,YER146W,YER172C,YFL017W-A,YFR005C,YGR074W,YGR075C,YGR091W,YHR165C,YJR022W,YKL173W,YLR147C,YLR275W,YLR438C-A,YNL147W,YOR159C,YOR308C,YPR082C,YPR178W,YPR182W	complex portal	BRR2,DIB1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,PRP28,PRP3,PRP31,PRP38,PRP4,PRP6,PRP8,SAD1,SMB1,SMD1,SMD2,SMD3,SME1,SMX2,SMX3,SNU114,SNU13,SNU23,SNU66,SPP381
135	snRNP U6	YBL026W,YCR077C,YDL160C,YDR378C,YER112W,YER146W,YJL124C,YJR022W,YLR438C-A,YMR268C,YNL147W	benchshop	DHH1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,PAT1,PRP24
136	Lsm1-7-Pat1 complex	YBL026W,YCR077C,YDR378C,YER112W,YER146W,YJL124C,YLR438C-A,YNL147W	complex portal	LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,PAT1
137	U4/U6 snRNP	YBL026W,YDR378C,YDR473C,YEL026W,YER029C,YER112W,YER146W,YFL017W-A,YGR074W,YGR091W,YJR022W,YLR147C,YLR275W,YLR438C-A,YNL147W,YOR159C,YPR178W,YPR182W	complex portal	LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,PRP3,PRP31,PRP4,SMB1,SMD1,SMD2,SMD3,SME1,SMX2,SMX3,SNU13
138	LSM1-7 complex	YBL026W,YDR378C,YER112W,YER146W,YJL124C,YLR438C-A,YNL147W	complex portal	LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7
139	U6 snRNP complex	YBL026W,YDR378C,YER112W,YER146W,YJR022W,YLR438C-A,YMR268C,YNL147W	complex portal	LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,PRP24
140	LSM2-8 complex	YBL026W,YDR378C,YER112W,YER146W,YJR022W,YLR438C-A,YNL147W	complex portal	LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8
141	LSM2-7 complex	YBL026W,YDR378C,YER112W,YER146W,YLR438C-A,YNL147W	complex portal	LSM2,LSM3,LSM4,LSM5,LSM6,LSM7
142	cytosolic large ribosomal subunit	YBL027W,YBL092W,YBR031W,YBR181C,YBR191W,YCR031C,YDL075W,YDL082W,YDL083C,YDL136W,YDR012W,YDR382W,YDR418W,YDR447C,YDR471W,YER074W,YFR031C-A,YFR032C-A,YGL014W,YGL030W,YGL031C,YGL076C,YGL103W,YGL123W,YGL135W,YGL147C,YGR034W,YGR085C,YGR118W,YHL001W,YHL033C,YHR141C,YIL018W,YIL133C,YJL177W,YJR123W,YKL180W,YLL045C,YLR029C,YLR075W,YLR150W,YLR287C-A,YLR340W,YLR441C,YLR448W,YML063W,YML073C,YMR142C,YMR194W,YMR242C,YNL069C,YNL096C,YNL178W,YNL301C,YNL302C,YOL039W,YOL040C,YOL127W,YOR063W,YOR312C,YPL090C,YPL198W,YPL220W,YPL249C-A	benchshop	PUF4,RPL10,RPL11B,RPL12B,RPL13A,RPL13B,RPL14B,RPL15A,RPL16A,RPL16B,RPL17A,RPL17B,RPL18B,RPL19B,RPL1A,RPL1B,RPL20A,RPL20B,RPL21A,RPL24A,RPL25,RPL26B,RPL27B,RPL28,RPL29,RPL2A,RPL2B,RPL3,RPL30,RPL31A,RPL32,RPL35B,RPL36A,RPL36B,RPL42B,RPL4A,RPL4B,RPL6A,RPL6B,RPL7A,RPL7B,RPL8A,RPL8B,RPL9A,RPP0,RPP2A,RPP2B,RPS14A,RPS15,RPS16B,RPS17B,RPS19B,RPS1A,RPS1B,RPS2,RPS23A,RPS24A,RPS3,RPS30A,RPS5,RPS6A,RPS6B,RPS7B,STM1
143	wodaklab complex#407	YBL031W,YDR322C-A	wodaklab	SHE1,TIM11
144	wodaklab complex#22	YBL033C,YDL145C,YDR238C,YER122C,YFL042C,YFR051C,YGL075C,YGL137W,YHR015W,YIL076W,YLR422W,YNL287W,YPL010W	wodaklab	COP1,GLO3,MIP6,MPS2,RET2,RET3,RIB1,SEC21,SEC26,SEC27,SEC28,YFL042C,YLR422W
145	DNA polymerase alpha:primase complex,alpha DNA polymerase:primase complex	YBL035C,YIR008C,YKL045W,YNL102W	complex portal,benchshop	POL1,POL12,PRI1,PRI2
146	wodaklab complex#98	YBL035C,YIR008C,YKL045W,YNL102W,YOR193W	wodaklab	PEX27,POL1,POL12,PRI1,PRI2
147	wodaklab complex#4	YBL036C,YBL038W,YBR122C,YBR268W,YBR282W,YCR003W,YCR046C,YCR071C,YDL202W,YDR115W,YDR116C,YDR237W,YDR296W,YDR322W,YDR405W,YDR462W,YEL050C,YGL068W,YGR076C,YGR220C,YHR147C,YJL063C,YJL096W,YKL167C,YKR006C,YKR085C,YLR312W-A,YLR439W,YML009C,YML025C,YMR024W,YMR098C,YMR193W,YMR225C,YMR286W,YNL005C,YNL122C,YNL177C,YNL185C,YNL252C,YNL284C,YNR022C,YOR150W,YPL173W,YPL183W-A,YPR042C,YPR100W	wodaklab	ATP25,IMG1,IMG2,MHR1,MNP1,MRP20,MRP49,MRP7,MRPL1,MRPL10,MRPL11,MRPL13,MRPL15,MRPL16,MRPL17,MRPL19,MRPL20,MRPL22,MRPL23,MRPL24,MRPL25,MRPL27,MRPL28,MRPL3,MRPL32,MRPL33,MRPL35,MRPL36,MRPL37,MRPL39,MRPL4,MRPL40,MRPL44,MRPL49,MRPL50,MRPL51,MRPL6,MRPL7,MRPL8,MRPL9,PUF2,RML2,RTC6,YBL036C,YDR115W,YML6,YNL122C
148	Adapter complex AP-2,AP-2 adaptor complex	YBL037W,YJR005W,YJR058C,YOL062C	complex portal,benchshop	APL1,APL3,APM4,APS2
149	wodaklab complex#107	YBL037W,YJR005W,YJR058C,YOL062C,YOR081C	wodaklab	APL1,APL3,APM4,APS2,TGL5
150	54S mitochondrial large ribosomal subunit	YBL038W,YBR122C,YBR268W,YBR282W,YCR003W,YCR046C,YCR071C,YDL202W,YDR115W,YDR116C,YDR237W,YDR296W,YDR322W,YDR405W,YDR462W,YEL050C,YGL068W,YGR076C,YGR220C,YHR147C,YJL063C,YJL096W,YKL138C,YKL167C,YKL170W,YKR006C,YKR085C,YLR312W-A,YLR439W,YML009C,YML025C,YMR024W,YMR193W,YMR225C,YMR286W,YNL005C,YNL122C,YNL177C,YNL185C,YNL252C,YNL284C,YNR022C,YOR150W,YPL173W,YPL183W-A,YPR100W	complex portal	IMG1,IMG2,MHR1,MNP1,MRP20,MRP49,MRP7,MRPL1,MRPL10,MRPL11,MRPL13,MRPL15,MRPL16,MRPL17,MRPL19,MRPL20,MRPL22,MRPL23,MRPL24,MRPL25,MRPL27,MRPL28,MRPL3,MRPL31,MRPL32,MRPL33,MRPL35,MRPL36,MRPL37,MRPL38,MRPL39,MRPL4,MRPL40,MRPL44,MRPL49,MRPL50,MRPL51,MRPL6,MRPL7,MRPL8,MRPL9,RML2,RTC6,YML6,nan,nan
151	mitochondtrial large ribosomal subunit	YBL038W,YBR122C,YBR282W,YCR046C,YCR071C,YDR116C,YDR237W,YDR296W,YDR322W,YDR405W,YDR462W,YGR076C,YGR220C,YHR147C,YJL063C,YKL167C,YKR006C,YKR085C,YLR312W-A,YLR439W,YML009C,YML025C,YMR024W,YMR098C,YMR193W,YMR225C,YNL005C,YNL177C,YNL252C,YNL284C,YOR150W,YPL183W-A,YPR100W	benchshop	ATP25,IMG1,IMG2,MHR1,MRP20,MRP49,MRP7,MRPL1,MRPL10,MRPL13,MRPL15,MRPL16,MRPL17,MRPL20,MRPL22,MRPL23,MRPL24,MRPL25,MRPL27,MRPL28,MRPL3,MRPL35,MRPL36,MRPL39,MRPL4,MRPL44,MRPL51,MRPL6,MRPL7,MRPL8,MRPL9,RTC6,YML6
152	wodaklab complex#344	YBL038W,YCL014W,YLR189C	wodaklab	ATG26,BUD3,MRPL16
153	putative Crm1-Mir1-Erd2-Tub1-Gea2-Mtr10-Kap104 complex	YBL040C,YBR017C,YEL022W,YGR218W,YJR077C,YML085C,YOR160W	benchshop	CRM1,ERD2,GEA2,KAP104,MIR1,MTR10,TUB1
154	26S Proteasome complex	YBL041W,YDL007W,YDL097C,YDL147W,YDR363W-A,YDR394W,YDR427W,YER012W,YER021W,YER094C,YFR004W,YFR050C,YFR052W,YGL011C,YGL048C,YGR135W,YGR253C,YHR027C,YHR200W,YIL075C,YJL001W,YKL145W,YLR421C,YML092C,YMR314W,YOL038W,YOR117W,YOR157C,YOR259C,YOR261C,YOR362C,YPR103W,YPR108W	complex portal	PRE1,PRE10,PRE2,PRE3,PRE4,PRE5,PRE6,PRE7,PRE8,PRE9,PUP1,PUP2,PUP3,RPN1,RPN10,RPN11,RPN12,RPN13,RPN2,RPN3,RPN5,RPN6,RPN7,RPN8,RPN9,RPT1,RPT2,RPT3,RPT4,RPT5,RPT6,SCL1,SEM1
155	proteasome core complex	YBL041W,YER012W,YER094C,YFL007W,YFR050C,YGL011C,YGR135W,YGR253C,YJL001W,YML092C,YMR314W,YOL038W,YOR157C,YOR362C,YPR103W	benchshop	BLM10,PRE1,PRE10,PRE2,PRE3,PRE4,PRE5,PRE6,PRE7,PRE8,PRE9,PUP1,PUP2,PUP3,SCL1
156	wodaklab complex#38	YBL045C,YDL189W,YDR529C,YHR003C,YJL054W,YKL027W,YMR243C,YNL177C,YOR065W,YPR191W	wodaklab	COR1,CYT1,MRPL22,QCR2,QCR7,RBS1,TIM54,YHR003C,YKL027W,ZRC1
157	subunit VII of the cytochrome bc1 complex	YBL045C,YDL189W,YDR529C,YPR191W	benchshop	COR1,QCR2,QCR7,RBS1
158	Mitochondrial electron transport complex III	YBL045C,YDR529C,YEL024W,YFR033C,YGR183C,YHR001W-A,YJL166W,YOR065W,YPR191W	complex portal	COR1,CYT1,QCR10,QCR2,QCR6,QCR7,QCR8,QCR9,RIP1
159	putative Ssd1-Psy4-Pph3-Psy2 complex	YBL046W,YDR075W,YDR293C,YNL201C	benchshop	PPH3,PSY2,PSY4,SSD1
160	wodaklab complex#113	YBL046W,YDR075W,YIL153W,YML010W,YNL201C	wodaklab	PPH3,PSY2,PSY4,RRD1,SPT5
161	Histone H2A phosphatase complex	YBL046W,YDR075W,YNL201C	complex portal	PPH3,PSY2,PSY4
162	putative Ede1-Syp1 complex,wodaklab complex#689	YBL047C,YCR030C	benchshop,wodaklab	EDE1,SYP1
163	wodaklab complex#90	YBL050W,YDR189W,YJL012C,YLR026C,YLR078C	wodaklab	BOS1,SEC17,SED5,SLY1,VTC4
164	Tlg1 SNARE complex	YBL050W,YDR468C,YGL095C,YOL018C	benchshop	SEC17,TLG1,TLG2,VPS45
165	wodaklab complex#704	YBL051C,YNL008C	wodaklab	ASI3,PIN4
166	NuA3 histone acetyltransferase complex,NuA3 histone acetyltransferase complex (GO)	YBL052C,YJR082C,YOR064C,YPL129W,YPR031W	complex portal,benchshop	EAF6,NTO1,SAS3,TAF14,YNG1
167	putative Sas3-Nto1-Ylr455w complex	YBL052C,YLR455W,YPR031W	benchshop	NTO1,SAS3,YLR455W
168	wodaklab complex#706	YBL052C,YPR031W	wodaklab	NTO1,SAS3
169	putative Ptc3-Paa1 complex	YBL056W,YDR071C	benchshop	PAA1,PTC3
170	wodaklab complex#281	YBL056W,YDR071C,YER089C	wodaklab	PAA1,PTC2,PTC3
171	wodaklab complex#652	YBL057C,YDR408C	wodaklab	ADE8,PTH2
172	wodaklab complex#29	YBL058W,YBR170C,YBR273C,YDL126C,YDR049W,YGL232W,YGR048W,YLL033W,YML013W,YMR067C,YPL161C	wodaklab	BEM4,CDC48,IRC19,NPL4,SHP1,TAN1,UBX2,UBX4,UBX7,UFD1,VMS1
173	Cdc48-Shp1 complex	YBL058W,YDL126C	benchshop	CDC48,SHP1
174	wodaklab complex#551	YBL059C-A,YMR002W	wodaklab	CMC2,MIC17
175	kinesin complex (GO)	YBL063W,YEL061C,YGL216W,YMR198W,YPL155C,YPL253C	benchshop	CIK1,CIN8,KIP1,KIP2,KIP3,VIK1
176	wodaklab complex#172	YBL064C,YFL010C,YHL023C,YNL160W	wodaklab	NPR3,PRX1,WWM1,YGP1
177	wodaklab complex#196	YBL067C,YLR105C,YOL087C	wodaklab	SEN2,UBP13,YOL087C
178	putative Ubp13-Yol087c complex	YBL067C,YOL087C	benchshop	DUF1,UBP13
179	wodaklab complex#339	YBL069W,YOR125C	wodaklab	AST1,CAT5
180	Dph1-Dph2-Dph3 complex	YBL071W-A,YIL103W,YKL191W	benchshop	DPH1,DPH2,KTI11
181	cytosolic small ribosomal subunit	YBL072C,YBR048W,YBR189W,YDR025W,YDR064W,YER102W,YHR203C,YIL069C,YJL190C,YJR145C,YLR367W,YML024W,YOR096W,YOR204W,YPL081W	benchshop	DED1,RPS11A,RPS11B,RPS13,RPS17A,RPS22A,RPS22B,RPS24B,RPS4A,RPS4B,RPS7A,RPS8A,RPS8B,RPS9A,RPS9B
182	Aar2-U5 snRNP	YBL074C,YER029C,YFL017W-A,YGR074W,YHR165C,YKL173W,YLR147C,YLR275W,YOR159C,YPR182W	complex portal	AAR2,PRP8,SMB1,SMD1,SMD2,SMD3,SME1,SMX2,SMX3,SNU114
183	wodaklab complex#470	YBL076C,YKL029C	wodaklab	ILS1,MAE1
184	wodaklab complex#158	YBL078C,YDL004W,YGR079W,YLR295C	wodaklab	ATG8,ATP14,ATP16,YGR079W
185	wodaklab complex#416	YBL079W,YMR153W	wodaklab	NUP170,NUP53
186	putative Nup170-Nup53-Hms1 complex	YBL079W,YMR153W,YOR032C	benchshop	HMS1,NUP170,NUP53
187	Glutamyl-tRNA(Gln) amidotransferase complex	YBL080C,YGR102C,YMR293C	complex portal	GTF1,HER2,PET112
188	putative Pet112-Ymr293c complex	YBL080C,YMR293C	benchshop	HER2,PET112
189	wodaklab complex#577	YBL080C,YNL188W	wodaklab	KAR1,PET112
190	wodaklab complex#504	YBL081W,YHR182W	wodaklab	YBL081W,YHR182W
191	wodaklab complex#502	YBL082C,YJR047C	wodaklab	ALG3,ANB1
192	Anaphase-Promoting Complex variant 3	YBL084C,YDL008W,YDR118W,YDR260C,YFR036W,YGL003C,YGL240W,YHR166C,YIR025W,YKL022C,YLR102C,YLR127C,YNL172W,YOR249C	complex portal	APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,CDH1,DOC1,MND2,SWM1
193	Anaphase-Promoting Complex variant 2	YBL084C,YDL008W,YDR118W,YDR260C,YFR036W,YGL116W,YGL240W,YHR166C,YIR025W,YKL022C,YLR102C,YLR127C,YNL172W,YOR249C	complex portal	APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC20,CDC23,CDC26,CDC27,DOC1,MND2,SWM1
194	Anaphase-Promoting Complex variant 4	YBL084C,YDL008W,YDR118W,YDR260C,YFR036W,YGL240W,YGR225W,YHR166C,YIR025W,YKL022C,YLR102C,YLR127C,YNL172W,YOR249C	complex portal	AMA1,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1,MND2,SWM1
195	Anaphase-Promoting Complex variant 1	YBL084C,YDL008W,YDR118W,YDR260C,YFR036W,YGL240W,YHR166C,YIR025W,YKL022C,YLR102C,YLR127C,YNL172W,YOR249C	complex portal	APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1,MND2,SWM1
196	anaphase-promoting complex,wodaklab complex#24	YBL084C,YDR118W,YDR260C,YFR036W,YGL240W,YHR166C,YIR025W,YKL022C,YLR102C,YLR127C,YNL172W,YOR249C	benchshop,wodaklab	APC1,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1,MND2,SWM1
197	wodaklab complex#628	YBL085W,YBR265W	wodaklab	BOI1,TSC10
198	wodaklab complex#436	YBL086C,YDL244W	wodaklab	THI13,YBL086C
199	wodaklab complex#11	YBL087C,YBR009C,YBR010W,YBR048W,YDL061C,YDL083C,YDL208W,YDL212W,YDR450W,YEL001C,YER056C-A,YFR032C-A,YGL064C,YGL147C,YGL189C,YGR118W,YGR126W,YHR010W,YHR141C,YJL189W,YJR094W-A,YKL006W,YKL046C,YLL045C,YLR167W,YLR185W,YLR325C,YLR388W,YML024W,YML063W,YMR230W,YNR049C,YOR063W,YOR234C,YOR273C,YPL081W,YPL143W,YPR139C	wodaklab	DCW1,HHF1,HHT1,IRC22,MRH4,MSO1,NHP2,RPL14A,RPL23A,RPL27A,RPL29,RPL3,RPL33A,RPL33B,RPL34A,RPL37A,RPL38,RPL39,RPL42B,RPL43B,RPL8B,RPL9A,RPS10B,RPS11B,RPS16B,RPS17A,RPS18A,RPS1B,RPS23A,RPS26A,RPS29A,RPS29B,RPS31,RPS9A,SHR3,TPO4,VPS66,YGR126W
200	putative Rpl23a-Rpl23b-Bcp1-Rkm1 complex,wodaklab complex#162	YBL087C,YDR361C,YER117W,YPL208W	benchshop,wodaklab	BCP1,RKM1,RPL23A,RPL23B
201	wodaklab complex#262	YBL088C,YFR006W,YOR275C	wodaklab	RIM20,TEL1,YFR006W
202	wodaklab complex#6	YBL090W,YBR146W,YBR251W,YDL045W-A,YDR036C,YDR041W,YDR175C,YDR337W,YDR347W,YDR494W,YER050C,YGL129C,YGR084C,YGR165W,YGR215W,YHL004W,YHR059W,YIL055C,YIL073C,YIL093C,YJR101W,YJR113C,YKL003C,YKL155C,YKR101W,YMR158W,YMR188C,YNL081C,YNL137C,YNL306W,YNR036C,YNR037C,YOL060C,YOR158W,YOR204W,YPL013C,YPL118W,YPL163C	wodaklab	DED1,EHD3,FYV4,MAM3,MRP1,MRP10,MRP13,MRP17,MRP21,MRP4,MRP51,MRPS12,MRPS16,MRPS17,MRPS18,MRPS28,MRPS35,MRPS5,MRPS8,MRPS9,NAM9,PET123,RSM10,RSM18,RSM19,RSM22,RSM23,RSM24,RSM25,RSM26,RSM27,RSM28,RSM7,SIR1,SPO22,SVS1,SWS2,YIL055C
203	37S mitochondrial small ribosomal subunit	YBL090W,YBR146W,YBR251W,YDL045W-A,YDR036C,YDR041W,YDR175C,YDR337W,YDR347W,YDR494W,YER050C,YGL129C,YGR084C,YGR165W,YGR215W,YHL004W,YHR059W,YIL093C,YJR101W,YJR113C,YKL003C,YLR204W,YMR158W,YMR188C,YNL081C,YNL137C,YNL306W,YNR036C,YNR037C,YOR158W,YPL013C,YPL118W,YPR166C	complex portal	EHD3,FYV4,MRP1,MRP10,MRP13,MRP17,MRP2,MRP21,MRP4,MRP51,MRPS12,MRPS16,MRPS17,MRPS18,MRPS28,MRPS35,MRPS5,MRPS8,MRPS9,NAM9,PET123,QRI5,RSM10,RSM18,RSM19,RSM23,RSM24,RSM25,RSM26,RSM27,RSM28,RSM7,SWS2
204	mitochondrial small ribosomal subunit	YBL090W,YBR146W,YBR251W,YDL045W-A,YDR036C,YDR041W,YDR175C,YDR337W,YDR347W,YER050C,YGL129C,YGR084C,YGR165W,YGR215W,YHL004W,YHR059W,YIL093C,YJR101W,YJR113C,YKL003C,YKL155C,YMR158W,YMR188C,YNL081C,YNL137C,YNL306W,YNR036C,YNR037C,YOR158W,YPL013C,YPL118W	benchshop	EHD3,FYV4,MRP1,MRP10,MRP13,MRP17,MRP21,MRP4,MRP51,MRPS12,MRPS16,MRPS17,MRPS18,MRPS28,MRPS35,MRPS5,MRPS8,MRPS9,NAM9,PET123,RSM10,RSM18,RSM19,RSM22,RSM23,RSM24,RSM25,RSM26,RSM27,RSM7,SWS2
205	60S cytosolic large ribosomal subunit	YBL092W,YFR032C-A,YGL030W,YGL103W,YJL189W,YLR075W,YLR325C,YLR340W,YOR063W,YPL131W	complex portal	RPL10,RPL28,RPL29,RPL3,RPL30,RPL32,RPL38,RPL39,RPL5,RPP0
206	wodaklab complex#10	YBL093C,YBR193C,YBR253W,YCR081W,YDL005C,YDR308C,YDR443C,YDR448W,YER022W,YGL025C,YGL127C,YGL151W,YGR104C,YGR252W,YHR041C,YHR058C,YLR071C,YML007W,YMR112C,YNL025C,YNL236W,YNR010W,YOL051W,YOL053W,YOL135C,YOR174W,YPL042C,YPR070W,YPR168W	wodaklab	ADA2,AIM39,CSE2,GAL11,GCN5,MED1,MED11,MED2,MED4,MED6,MED7,MED8,NUT1,NUT2,PGD1,RGR1,ROX3,SIN4,SOH1,SRB2,SRB4,SRB5,SRB6,SRB7,SRB8,SSN2,SSN3,SSN8,YAP1
207	Srb-mediator complex	YBL093C,YBR193C,YBR253W,YCR081W,YDL005C,YDR308C,YDR443C,YER022W,YGL025C,YGL127C,YGL151W,YGR104C,YHR041C,YHR058C,YLR071C,YMR112C,YNL236W,YNR010W,YOL051W,YOL135C,YOR174W,YPL042C,YPR070W,YPR168W	benchshop	CSE2,GAL11,MED1,MED11,MED2,MED4,MED6,MED7,MED8,NUT1,NUT2,PGD1,RGR1,ROX3,SIN4,SOH1,SRB2,SRB4,SRB5,SRB6,SRB7,SRB8,SSN2,SSN3
208	Core mediator complex	YBL093C,YBR193C,YBR253W,YDL005C,YDR308C,YER022W,YGL025C,YGL127C,YGL151W,YGR104C,YHR041C,YHR058C,YLR071C,YMR112C,YNL236W,YNR010W,YOL051W,YOL135C,YOR174W,YPR070W,YPR168W	complex portal	CSE2,GAL11,MED1,MED11,MED2,MED4,MED6,MED7,MED8,NUT1,NUT2,PGD1,RGR1,ROX3,SIN4,SOH1,SRB2,SRB4,SRB5,SRB6,SRB7
209	wodaklab complex#189	YBL097W,YDR325W,YFR031C	wodaklab	BRN1,SMC2,YCG1
210	Nuclear condensin complex,nuclear condensin complex	YBL097W,YDR325W,YFR031C,YLR086W,YLR272C	complex portal,benchshop	BRN1,SMC2,SMC4,YCG1,YCS4
