P1	P2	Duplication	Sequence_identity	Same_phylome
YGR032W	YLR342W	WGD	85.17	1
YML111W	YMR275C	WGD	48.85	1
YDL048C	YLR375W	WGD	36.05	1
YDR463W	YHR006W	WGD	32.28	1
YFR031C-A	YIL018W	WGD	100.0	1
YDR069C	YER144C	WGD	33.76	1
YGR239C	YHR160C	WGD	15.64	0
YNL270C	YEL063C	WGD	63.45	1
YLR300W	YOR190W	WGD	60.7	1
YFR022W	YOR018W	WGD	30.29	1
YJL133W	YKR052C	WGD	70.38	1
YHR047C	YKL157W	WGD	61.55	1
YOR247W	YPL163C	WGD	28.21	0
YBR078W	YDR055W	WGD	49.39	1
YDR077W	YER150W	WGD	23.82	0
YGR035C	YLR346C	WGD	22.88	0
YDR066C	YER139C	WGD	28.95	1
YJR127C	YML081W	WGD	33.64	1
YER067W	YIL057C	WGD	64.85	1
YFR017C	YOL024W	WGD	20.47	0
YIL158W	YKR100C	WGD	22.54	0
YFL042C	YLR072W	WGD	23.11	1
YKL050C	YMR031C	WGD	23.37	1
YGL082W	YPL191C	WGD	40.41	1
YKL065C	YMR040W	WGD	40.29	1
YKL141W	YMR118C	WGD	42.16	1
YMR182C	YPL230W	WGD	14.67	0
YML116W	YMR279C	WGD	54.94	1
YKL121W	YMR102C	WGD	33.81	1
YDL211C	YNL176C	WGD	17.06	0
YFR012W	YOL019W	WGD	7.99	1
YGR109C	YPR120C	WGD	39.41	1
YAL056W	YOR371C	WGD	31.66	1
YMR199W	YPL256C	WGD	51.92	1
YGL096W	YPL177C	WGD	21.19	0
YGR230W	YHR152W	WGD	20.57	0
YDR447C	YML024W	WGD	99.26	1
YLR264W	YOR167C	WGD	98.51	1
YMR251W-A	YOL052C-A	WGD	13.78	NA
YBL085W	YER114C	WGD	32.59	1
YDL194W	YDL138W	WGD	46.67	1
YDL179W	YDL127W	WGD	35.86	1
YDR277C	YOR047C	WGD	56.79	1
YDR458C	YML034W	WGD	22.34	1
YDR389W	YOR134W	WGD	20.51	1
YMR175W	YPL223C	WGD	15.48	0
YER062C	YIL053W	WGD	92.4	0
YDR263C	YOR033C	WGD	27.93	1
YHR155W	YNL257C	WGD	35.99	1
YJL139C	YKR061W	WGD	59.27	1
YDR351W	YHR103W	WGD	38.7	1
YNL095C	YOR092W	WGD	56.88	1
YJL160C	YKL164C	WGD	43.84	1
YDR272W	YOR040W	WGD	56.84	1
YDR492W	YOL101C	WGD	23.44	1
YJL134W	YKR053C	WGD	49.4	1
YKL132C	YMR113W	WGD	38.58	1
YJL116C	YKR042W	WGD	57.84	0
YHL033C	YLL045C	WGD	97.27	1
YDL083C	YMR143W	WGD	100.0	1
YER131W	YGL189C	WGD	98.32	1
YDL184C	YDL133C-A	WGD	21.55	NA
YDR450W	YML026C	WGD	100.0	1
YHR021C	YKL156W	WGD	98.78	1
YKR091W	YOR083W	WGD	17.38	0
YGR214W	YLR048W	WGD	94.84	1
YDR247W	YPL026C	WGD	39.06	1
YLR448W	YML073C	WGD	94.32	1
YHR203C	YJR145C	WGD	100.0	1
YAL023C	YOR321W	WGD	62.48	1
YBL089W	YER119C	WGD	49.25	1
YDL226C	YNL204C	WGD	23.89	1
YDR223W	YLR223C	WGD	11.71	0
YMR230W	YOR293W	WGD	97.14	1
YJL136C	YKR057W	WGD	98.85	1
YPL130W	YOR214C	WGD	20.41	0
YCR026C	YEL016C	WGD	24.31	1
YKL187C	YLR413W	WGD	42.1	1
YGR038W	YLR350W	WGD	66.22	1
YJL110C	YKR034W	WGD	20.61	0
YDR151C	YLR136C	WGD	35.14	1
YNL307C	YOL128C	WGD	38.72	1
YGR043C	YLR354C	WGD	68.06	1
YCR034W	YJL196C	WGD	49.29	1
YBR020W	YDR009W	WGD	71.75	1
YDR146C	YLR131C	WGD	27.74	1
YDR358W	YHR108W	WGD	48.98	1
YAL030W	YOR327C	WGD	73.95	1
YHR135C	YNL154C	WGD	62.85	1
YBR001C	YDR001C	WGD	72.84	1
YKL032C	YMR072W	WGD	10.39	0
YCR069W	YNR028W	WGD	24.18	1
YDR251W	YPL032C	WGD	32.36	1
YCL037C	YDR515W	WGD	27.16	1
YDR111C	YLR089C	WGD	53.79	1
YDL022W	YOL059W	WGD	63.18	1
YDR368W	YOR120W	WGD	65.18	1
YGR085C	YPR102C	WGD	99.43	1
YBR278W	YJL065C	WGD	18.02	0
YMR198W	YPL253C	WGD	19.33	1
YBR121C	YPR081C	WGD	54.4	1
YCR052W	YNR023W	WGD	23.32	1
YGR070W	YLR371W	WGD	38.36	1
YDR436W	YML016C	WGD	45.58	1
YBR169C	YPL106C	WGD	75.61	1
YJR066W	YKL203C	WGD	66.27	1
YOR226C	YPL135W	WGD	68.48	1
YKL127W	YMR105C	WGD	78.95	1
YDR438W	YML018C	WGD	33.92	1
YBL043W	YJR115W	WGD	12.12	0
YER056C-A	YIL052C	WGD	98.35	1
YEL047C	YJR051W	WGD	56.31	1
YGR143W	YPR159W	WGD	62.14	1
YDL061C	YLR388W	WGD	91.07	1
YDL036C	YOL066C	WGD	42.33	1
YCR031C	YJL191W	WGD	96.38	1
YFR014C	YOL016C	WGD	52.06	1
YGR279C	YMR305C	WGD	59.08	1
YBR183W	YPL087W	WGD	52.2	1
YER064C	YIL056W	WGD	24.71	1
YDR034W-B	YBR056W-A	WGD	10.45	NA
YDR144C	YLR120C	WGD	47.54	1
YDL021W	YOL056W	WGD	64.01	1
YHR141C	YNL162W	WGD	100.0	1
YIL085C	YNL029C	WGD	47.13	1
YBR210W	YGL054C	WGD	58.45	1
YNL283C	YOL105C	WGD	37.41	1
YKL068W	YMR047C	WGD	25.04	1
YHR117W	YNL121C	WGD	47.51	1
YGR097W	YPR115W	WGD	31.73	1
YJL112W	YKR036C	WGD	28.92	0
YBR024W	YBR037C	WGD	50.0	1
YER070W	YIL066C	WGD	78.52	1
YAL029C	YOR326W	WGD	45.77	1
YJR091C	YPR042C	WGD	39.56	1
YMR237W	YOR299W	WGD	53.47	1
YBR273C	YJL048C	WGD	23.26	1
YDR213W	YLR228C	WGD	40.99	1
YAL051W	YOR363C	WGD	36.91	1
YMR264W	YML101C	WGD	13.89	0
YCL040W	YDR516C	WGD	71.09	1
YOL091W	YBR148W	WGD	13.56	0
YGR188C	YJL013C	WGD	11.52	1
YBR177C	YPL095C	WGD	57.42	1
YER129W	YGL179C	WGD	15.03	0
YJR059W	YKL198C	WGD	32.08	1
YDR096W	YER169W	WGD	23.63	1
YGR192C	YJR009C	WGD	96.39	1
YBR054W	YDR033W	WGD	63.37	1
YGR238C	YHR158C	WGD	29.05	1
YBR052C	YDR032C	WGD	52.13	1
YJR148W	YHR208W	WGD	72.29	1
YKL091C	YMR079W	WGD	59.06	1
YAL028W	YOR324C	WGD	21.67	0
YDL181W	YDL130W-A	WGD	44.19	1
YDL239C	YNL225C	WGD	11.47	1
YGR243W	YHR162W	WGD	63.01	1
YMR192W	YPL249C	WGD	20.2	1
YDR343C	YHR094C	WGD	70.4	1
YAL062W	YOR375C	WGD	85.81	1
YBR145W	YOL086C	WGD	75.78	1
YCL024W	YDR507C	WGD	38.98	1
YLR437C	YML058W	WGD	17.2	0
YER039C	YGL225W	WGD	54.6	1
YBR284W	YJL070C	WGD	33.05	1
YHL012W	YKL035W	WGD	39.22	1
YCR048W	YNR019W	WGD	41.96	1
YGL063W	YPL212C	WGD	28.05	1
YKL072W	YMR053C	WGD	40.37	1
YDL012C	YBR016W	WGD	20.83	NA
YGR138C	YPR156C	WGD	85.71	1
YNL096C	YOR096W	WGD	87.89	1
YER027C	YGL208W	WGD	41.27	1
YLR293C	YOR185C	WGD	95.45	1
YBR140C	YOL081W	WGD	42.39	1
YCR091W	YNR047W	WGD	36.92	1
YGR209C	YLR043C	WGD	77.88	1
YCR089W	YNR044W	WGD	14.46	0
YKL105C	YMR086W	WGD	19.83	0
YAL017W	YOL045W	WGD	45.07	1
YDL188C	YDL134C	WGD	88.33	1
YMR183C	YPL232W	WGD	71.19	1
YCR073W-A	YNR034W	WGD	74.38	1
YJL076W	YKR010C	WGD	14.31	0
YKL062W	YMR037C	WGD	23.89	1
YGR027C	YLR333C	WGD	99.07	1
YHR003C	YKL027W	WGD	44.79	1
YJL129C	YKR050W	WGD	33.49	1
YHR131C	YNL144C	WGD	26.54	1
YIL011W	YOR010C	WGD	37.59	1
YBL101C	YPR030W	WGD	27.85	1
YDR348C	YHR097C	WGD	31.47	1
YBR048W	YDR025W	WGD	100.0	1
YNL052W	YIL111W	WGD	62.99	1
YGL133W	YPL216W	WGD	23.32	1
YBR214W	YGL056C	WGD	55.01	1
YNL106C	YOR109W	WGD	52.17	1
YLR260W	YOR171C	WGD	46.39	1
YDR471W	YHR010W	WGD	99.26	1
YER132C	YGL197W	WGD	35.33	1
YBR216C	YGL060W	WGD	32.35	1
YDL082W	YMR142C	WGD	98.99	1
YIL095W	YNL020C	WGD	31.99	1
YLR441C	YML063W	WGD	96.86	1
YBL061C	YER096W	WGD	20.71	1
YDR085C	YER158C	WGD	14.19	0
YIL117C	YNL058C	WGD	26.0	0
YDR122W	YLR096W	WGD	41.1	1
YDR259C	YOR028C	WGD	18.69	0
YKR077W	YOR066W	WGD	16.38	0
YCR037C	YJL198W	WGD	63.72	1
YDR342C	YHR092C	WGD	77.91	1
YGR049W	YLR356W	WGD	27.94	1
YBR005W	YDR003W	WGD	42.99	1
YGL166W	YPR008W	WGD	9.48	1
YOR233W	YPL141C	WGD	31.8	1
YJL083W	YKR019C	WGD	23.96	0
YNL309W	YOL131W	WGD	5.7	0
YGR221C	YHR149C	WGD	23.9	1
YHR133C	YNL156C	WGD	29.52	1
YML125C	YML087C	WGD	48.25	1
YBL027W	YBR084C-A	WGD	100.0	1
YJL084C	YKR021W	WGD	33.55	1
YER074W	YIL069C	WGD	100.0	1
YCR024C-A	YEL017C-A	WGD	88.37	1
YDR178W	YLR164W	WGD	45.3	1
YGR141W	YPR157W	WGD	52.16	1
YDL161W	YLR206W	WGD	46.25	1
YDR185C	YLR168C	WGD	43.04	1
YHR139C	YNL160W	WGD	40.27	1
YOR231W	YPL140C	WGD	51.66	1
YNL108C	YOR110W	WGD	35.55	1
YBL009W	YGL021W	WGD	27.34	1
YBR181C	YPL090C	WGD	100.0	1
YNR034W-A	YCR075W-A	WGD	15.31	0
YER059W	YIL050W	WGD	29.48	1
YBL072C	YER102W	WGD	100.0	1
YGR213C	YLR046C	WGD	25.08	1
YJL165C	YKL168C	WGD	31.37	0
YBL054W	YER088C	WGD	22.47	1
YDL155W	YLR210W	WGD	39.67	1
YJL079C	YKR013W	WGD	40.3	1
YML118W	YMR285C	WGD	35.66	1
YBR241C	YGL104C	WGD	45.86	1
YLR174W	YNL009W	WGD	74.05	1
YDR326C	YHR080C	WGD	33.71	1
YHL001W	YKL006W	WGD	99.28	1
YLR277C	YOR179C	WGD	7.18	0
YGL076C	YPL198W	WGD	97.95	1
YAL038W	YOR347C	WGD	69.96	1
YFR023W	YHR015W	WGD	32.76	1
YCL051W	YDR528W	WGD	20.67	1
YGR124W	YPR145W	WGD	87.43	1
YER019C-A	YER087C-B	WGD	49.44	1
YKL093W	YMR081C	WGD	20.48	0
YDR125C	YLR099C	WGD	33.89	1
YOR222W	YPL134C	WGD	59.18	1
YDR107C	YLR083C	WGD	72.63	1
YBL056W	YER089C	WGD	54.66	1
YDR206W	YLR233C	WGD	19.12	1
YMR233W	YOR295W	WGD	35.65	1
YIL151C	YKR096W	WGD	40.77	1
YLR187W	YNL278W	WGD	26.39	1
YCL050C	YDR530C	WGD	57.7	1
YIL131C	YNL068C	WGD	24.59	1
YBR147W	YOL092W	WGD	54.72	1
YKL133C	YMR115W	WGD	30.18	0
YJR130C	YML082W	WGD	54.04	1
YNL302C	YOL121C	WGD	99.31	1
YGR248W	YHR163W	WGD	46.12	0
YBL030C	YBR085W	WGD	85.85	1
YGR197C	YJR015W	WGD	39.75	1
YBR118W	YPR080W	WGD	100.0	1
YJR054W	YML047C	WGD	26.4	1
YHL034C	YLL046C	WGD	22.15	1
YNL195C	YDL223C	WGD	4.97	0
YOR186W	YLR297W	WGD	16.99	0
YBR049C	YDR026C	WGD	27.89	1
YDR303C	YHR056C	WGD	21.2	1
YDR309C	YHR061C	WGD	25.88	1
YGR004W	YLR324W	WGD	38.29	1
YDR200C	YLR238W	WGD	30.33	1
YMR119W	YNL008C	WGD	22.43	1
YBL075C	YER103W	WGD	86.5	1
YCL011C	YNL004W	WGD	39.25	0
YJL138C	YKR059W	WGD	100.0	1
YBR089C-A	YPR052C	WGD	80.81	1
YJL177W	YKL180W	WGD	98.91	1
YNL301C	YOL120C	WGD	100.0	1
YIL133C	YNL069C	WGD	88.94	1
YBL069W	YER101C	WGD	68.91	1
YJR094W-A	YPR043W	WGD	100.0	1
YLR249W	YNL014W	WGD	82.84	1
YAL037W	YOR342C	WGD	21.75	1
YEL060C	YOR003W	WGD	38.11	1
YAL034C	YOR338W	WGD	36.71	1
YKR078W	YOR069W	WGD	16.93	1
YGL031C	YGR148C	WGD	96.77	1
YBL087C	YER117W	WGD	100.0	1
YGR092W	YPR111W	WGD	74.48	1
YER037W	YGL224C	WGD	40.43	1
YBL106C	YPR032W	WGD	50.71	1
YKL129C	YMR109W	WGD	68.9	1
YIL149C	YKR095W	WGD	20.04	1
YHR115C	YNL116W	WGD	41.63	1
YPR162C	YLR453C	WGD	8.79	0
YBR014C	YDL010W	WGD	33.33	1
YGR254W	YHR174W	WGD	95.19	1
YDR132C	YLR108C	WGD	37.38	1
YIL138C	YNL079C	WGD	51.26	1
YDR300C	YHR033W	WGD	65.97	1
YDR475C	YOR019W	WGD	26.98	1
YMR246W	YOR317W	WGD	60.6	1
YGL134W	YPL219W	WGD	27.79	1
YBR172C	YPL105C	WGD	25.57	1
YGL075C	YPL200W	WGD	5.68	0
YGR023W	YLR332W	WGD	32.3	0
YMR243C	YOR316C	WGD	50.74	1
YBL068W	YER099C	WGD	86.85	1
YNL087W	YOR086C	WGD	50.66	1
YGR071C	YLR373C	WGD	23.67	1
YDR312W	YHR066W	WGD	94.04	1
YBR182C	YPL089C	WGD	19.38	0
YML124C	YML085C	WGD	90.4	1
YEL022W	YJR031C	WGD	47.35	1
YDR252W	YPL037C	WGD	45.68	1
YJL159W	YKL163W	WGD	59.33	0
YMR008C	YOL011W	WGD	59.68	1
YER035W	YGL222C	WGD	19.1	0
YEL030W	YJR045C	WGD	78.54	1
YLR287C-A	YOR182C	WGD	100.0	1
YDR483W	YPL053C	WGD	34.92	1
YBR066C	YDR043C	WGD	20.37	1
YGR118W	YPR132W	WGD	100.0	1
YJL045W	YKL148C	WGD	82.19	1
YDL109C	YGL144C	WGD	42.8	1
YCL048W	YDR522C	WGD	36.9	1
YBL091C-A	YER120W	WGD	24.1	1
YGR142W	YPR158W	WGD	16.07	1
YGL135W	YPL220W	WGD	100.0	1
YBL059W	YER093C-A	WGD	18.18	1
YGL139W	YPL221W	WGD	59.59	1
YDR222W	YLR225C	WGD	47.34	1
YGR034W	YLR344W	WGD	99.21	0
YHR132W-A	YNL157W	WGD	42.35	1
YIL156W	YKR098C	WGD	27.5	1
YNL293W	YOL112W	WGD	36.07	1
YPL250C	YMR195W	WGD	29.25	0
YDR451C	YML027W	WGD	32.32	1
YBR238C	YGL107C	WGD	38.71	1
YKR084C	YOR076C	WGD	14.8	0
YJL181W	YJR030C	WGD	18.2	1
YIL114C	YNL055C	WGD	48.76	1
YOL036W	YIR016W	WGD	8.47	0
YOR256C	YPL176C	WGD	39.86	1
YMR206W	YNR014W	WGD	19.75	0
YKR075C	YOR062C	WGD	33.33	1
YIL113W	YNL053W	WGD	15.97	1
YFL034C-A	YLR061W	WGD	82.11	1
YMR242C	YOR312C	WGD	17.86	NA
YFR013W	YOL017W	WGD	19.45	1
YAL015C	YOL043C	WGD	34.43	1
YDL085W	YMR145C	WGD	52.5	1
YHL035C	YLL048C	WGD	48.08	1
YBR031W	YDR012W	WGD	99.72	1
YCL036W	YDR514C	WGD	31.87	1
YDR418W	YEL054C	WGD	100.0	1
YNL001W	YCL001W-B	WGD	9.84	0
YKL201C	YJR061W	WGD	33.0	1
YBR197C	YPL077C	WGD	20.08	1
YBR042C	YDR018C	WGD	36.39	1
YIL123W	YNL066W	WGD	58.56	1
YDL075W	YLR406C	WGD	99.12	1
YDR341C	YHR091C	WGD	54.14	1
YLR029C	YMR121C	WGD	99.02	1
YDL191W	YDL136W	WGD	100.0	1
YJL105W	YKR029C	WGD	19.31	1
YEL006W	YIL006W	WGD	47.24	1
YGR169C-A	YJR005C-A	WGD	60.0	0
YML106W	YMR271C	WGD	72.05	1
YGR241C	YHR161C	WGD	35.78	1
YMR180C	YPL228W	WGD	12.99	1
YCR094W	YNR048W	WGD	53.92	1
YDR304C	YHR057C	WGD	45.41	1
YGR273C	YMR295C	WGD	32.85	1
YIL148W	YKR094C	WGD	100.0	1
YNL065W	YIL120W	WGD	32.73	1
YOR227W	YPL137C	WGD	39.21	1
YDR147W	YLR133W	WGD	29.83	1
YFR039C	YGL228W	WGD	18.1	1
YDR480W	YPL049C	WGD	16.59	0
YGR008C	YLR327C	WGD	62.79	1
YDR500C	YLR185W	WGD	93.18	1
YLR433C	YML057W	WGD	59.01	1
YLR449W	YML074C	WGD	52.83	1
YEL034W	YJR047C	WGD	90.45	1
YIL109C	YNL049C	WGD	52.72	1
YCL043C	YDR518W	WGD	38.84	1
YLR031W	YMR124W	WGD	5.09	1
YDL229W	YNL209W	WGD	99.35	1
YCL035C	YDR513W	WGD	47.92	1
YGR131W	YPR149W	WGD	61.49	1
YMR181C	YPL229W	WGD	22.22	1
YOR234C	YPL143W	WGD	99.07	1
YDR505C	YLR177W	WGD	37.2	1
YIL135C	YNL074C	WGD	25.1	0
YGL089C	YPL187W	WGD	46.11	1
YER028C	YGL209W	WGD	28.19	0
YMR177W	YPL224C	WGD	43.25	1
YHL017W	YKL039W	WGD	46.13	0
YMR194W	YPL249C-A	WGD	98.0	1
YBR104W	YPR058W	WGD	59.04	1
YBR191W	YPL079W	WGD	98.75	1
YKL104C	YMR085W	WGD	36.68	1
YOR237W	YPL145C	WGD	68.95	1
YGR180C	YJL026W	WGD	47.37	1
YFL004W	YPL019C	WGD	51.04	1
