P1_ID	P2_ID	HM_P1	HM_P2	HET	Strict_HM_P1	Strict_HM_P2	Compared_interface	Full_sequence_identity	PDB_sequence_identity	Interface_sequence_identity	Non_interface_sequence_identity	Same_phylome	Gene_1	Gene_2	PDB_length	Full_protein_length
ENSP00000359506.4	ENSP00000388828.2	4ova_1	NA	NA	4ova_1	NA	P1_HM	52.2	71.0	86.0	66.0	0	ENSG00000102081	ENSG00000114416	200	632
ENSP00000235835.3	ENSP00000355377.4	2bp1_1	NA	NA	2bp1_1	NA	P1_HM	78.95	88.16	95.12	87.14	1	ENSG00000053371	ENSG00000162482	323	359
ENSP00000371267.4	ENSP00000379287.2	5iqp_1	NA	NA	5iqp_1	NA	P1_HM	79.59	81.3	75.0	83.15	1	ENSG00000134308	ENSG00000164924	230	245
ENSP00000371267.4	ENSP00000379286.3	5iqp_1	NA	NA	5iqp_1	NA	P1_HM	79.59	81.3	75.0	83.15	1	ENSG00000134308	ENSG00000164924	230	245
ENSP00000309503.3	ENSP00000371267.4	NA	5iqp_1	NA	NA	5iqp_1	P2_HM	79.59	81.3	75.0	83.15	1	ENSG00000164924	ENSG00000134308	230	245
ENSP00000371267.4	ENSP00000379283.2	5iqp_1	NA	NA	5iqp_1	NA	P1_HM	79.59	81.3	75.0	83.15	1	ENSG00000134308	ENSG00000164924	230	245
ENSP00000371267.4	ENSP00000379281.3	5iqp_1	NA	NA	5iqp_1	NA	P1_HM	79.59	81.3	75.0	83.15	1	ENSG00000134308	ENSG00000164924	230	245
ENSP00000371267.4	ENSP00000395114.2	5iqp_1	NA	NA	5iqp_1	NA	P1_HM	79.59	81.3	75.0	83.15	1	ENSG00000134308	ENSG00000164924	230	245
ENSP00000371267.4	ENSP00000379288.2	5iqp_1	NA	NA	5iqp_1	NA	P1_HM	79.59	81.3	75.0	83.15	1	ENSG00000134308	ENSG00000164924	230	245
ENSP00000371267.4	ENSP00000398599.1	5iqp_1	NA	NA	5iqp_1	NA	P1_HM	79.59	81.3	75.0	83.15	1	ENSG00000134308	ENSG00000164924	230	245
ENSP00000276079.8	ENSP00000349748.5	5ifm_1	4wii_1	NA	5ifm_1	4wii_1	P1_HM	37.19	71.26	71.18	71.43	1	ENSG00000147140	ENSG00000116560	254	471
ENSP00000276079.8	ENSP00000349748.5	5ifm_1	4wii_1	NA	5ifm_1	4wii_1	P2_HM	39.86	71.15	72.89	67.82	0	ENSG00000147140	ENSG00000116560	253	707
ENSP00000276079.8	ENSP00000343966.4	5ifm_1	5ifn_1	3sde_1	5ifm_1	5ifn_1	P1_HM	54.17	72.83	76.47	65.48	1	ENSG00000147140	ENSG00000121390	254	471
ENSP00000276079.8	ENSP00000343966.4	5ifm_1	5ifn_1	3sde_1	5ifm_1	5ifn_1	P2_HM	55.26	73.54	77.46	65.48	1	ENSG00000147140	ENSG00000121390	257	523
ENSP00000276079.8	ENSP00000343966.4	5ifm_1	5ifn_1	3sde_1	5ifm_1	5ifn_1	HET_P1	54.17	73.22	77.3	67.35	1	ENSG00000147140	ENSG00000121390	239	471
ENSP00000276079.8	ENSP00000343966.4	5ifm_1	5ifn_1	3sde_1	5ifm_1	5ifn_1	HET_P2	55.26	73.33	76.69	67.39	1	ENSG00000147140	ENSG00000121390	255	523
ENSP00000320117.7	ENSP00000413625.1	2efk_1	2efl_1	NA	2efk_1	2efl_1	P1_HM	49.04	54.68	54.6	54.84	1	ENSG00000125733	ENSG00000187239	267	601
ENSP00000320117.7	ENSP00000413625.1	2efk_1	2efl_1	NA	2efk_1	2efl_1	P2_HM	49.76	55.68	55.98	55.06	1	ENSG00000125733	ENSG00000187239	273	617
ENSP00000271234.7	ENSP00000320117.7	NA	2efk_1	NA	NA	2efk_1	P2_HM	50.48	59.4	56.07	65.59	0	ENSG00000137942	ENSG00000125733	267	601
ENSP00000284273.5	ENSP00000291535.6	5vr6_1	NA	NA	5vr6_1	NA	P1_HM	43.91	49.24	51.96	47.53	0	ENSG00000154127	ENSG00000160185	264	649
ENSP00000296474.3	ENSP00000317272.6	NA	5t3q_1	NA	NA	5t3q_1	P2_HM	32.93	61.37	48.21	64.71	0	ENSG00000164078	ENSG00000105976	278	1408
ENSP00000257749.4	ENSP00000286800.3	3ohu_1	2ihc_1	NA	3ohu_1	2ihc_1	P1_HM	29.54	63.93	65.52	60.0	1	ENSG00000112182	ENSG00000156273	125	841
ENSP00000257749.4	ENSP00000286800.3	3ohu_1	2ihc_1	NA	3ohu_1	2ihc_1	P2_HM	29.54	65.81	71.43	55.0	1	ENSG00000112182	ENSG00000156273	117	736
ENSP00000286800.3	ENSP00000345642.3	2ihc_1	NA	NA	2ihc_1	NA	P1_HM	29.54	65.81	71.43	55.0	1	ENSG00000156273	ENSG00000112182	117	736
ENSP00000286800.3	ENSP00000437473.1	2ihc_1	NA	NA	2ihc_1	NA	P1_HM	29.54	65.81	71.43	55.0	0	ENSG00000156273	ENSG00000112182	117	736
ENSP00000330247.4	ENSP00000383960.3	NA	2jc9_1	NA	NA	2jc9_1	P2_HM	45.99	61.37	48.96	65.18	0	ENSG00000144130	ENSG00000076685	467	561
ENSP00000268835.2	ENSP00000414624.2	2ji4_1	NA	NA	2ji4_1	NA	P1_HM	71.83	81.46	80.95	81.82	0	ENSG00000141127	ENSG00000161542	302	369
ENSP00000258080.3	ENSP00000357980.3	2pzd_1	3nzi_1	NA	2pzd_1	3tjn_1	P2_HM	37.7	65.26	76.12	59.35	1	ENSG00000115317	ENSG00000166033	190	480
ENSP00000281092.4	ENSP00000331504.3	NA	4dyl_1	NA	NA	4dyl_1	P2_HM	50.72	40.21	42.07	31.25	1	ENSG00000151422	ENSG00000182511	376	822
ENSP00000237596.2	ENSP00000325296.3	3hrn_1	NA	NA	3hrn_1	NA	P1_HM	40.68	42.86	47.37	27.27	1	ENSG00000118762	ENSG00000107593	63	968
ENSP00000237596.2	ENSP00000424725.1	3hrn_1	NA	NA	3hrn_1	NA	P1_HM	29.98	27.03	27.03	0	1	ENSG00000118762	ENSG00000078795	63	968
ENSP00000291554.2	ENSP00000499082.1	NA	4m5s_1	NA	NA	3l1g_1	P2_HM	53.89	56.84	49.02	65.91	0	ENSG00000160202	ENSG00000109846	95	175
ENSP00000261917.3	ENSP00000307342.4	3otf_1	NA	NA	3otf_1	NA	P1_HM	47.31	88.32	88.24	88.42	0	ENSG00000138622	ENSG00000164588	197	1203
ENSP00000251287.1	ENSP00000261917.3	5khh_1	3otf_1	NA	5khh_1	3otf_1	P1_HM	44.09	93.81	92.55	95.0	1	ENSG00000099822	ENSG00000138622	194	889
ENSP00000251287.1	ENSP00000261917.3	5khh_1	3otf_1	NA	5khh_1	3otf_1	P2_HM	48.76	93.91	92.16	95.79	0	ENSG00000099822	ENSG00000138622	197	1203
ENSP00000251287.1	ENSP00000357342.3	5khh_1	NA	NA	5khh_1	NA	P1_HM	48.65	82.11	85.11	79.17	1	ENSG00000099822	ENSG00000143630	194	889
ENSP00000251287.1	ENSP00000307342.4	5khh_1	NA	NA	5khh_1	NA	P1_HM	51.34	90.72	91.49	90.0	1	ENSG00000099822	ENSG00000164588	194	889
ENSP00000410613.3	ENSP00000490696.1	NA	2oni_1	NA	NA	2oni_1	P2_HM	45.66	83.24	78.72	84.81	0	ENSG00000069869	ENSG00000049759	364	1254
ENSP00000303147.3	ENSP00000361287.3	5a1i_1	NA	NA	5a1i_1	NA	P1_HM	84.3	86.35	90.91	82.87	1	ENSG00000168906	ENSG00000151224	381	395
ENSP00000295987.7	ENSP00000351614.2	NA	2p0a_1	NA	NA	2p0a_1	P2_HM	46.91	70.13	72.13	68.75	1	ENSG00000008056	ENSG00000185666	298	580
ENSP00000305632.8	ENSP00000439937.1	NA	3cvf_1	NA	NA	3cvf_1	P2_HM	44.48	23.53	23.53	0	0	ENSG00000103942	ENSG00000051128	69	361
ENSP00000258080.3	ENSP00000498033.1	2pzd_1	NA	NA	2pzd_1	NA	P1_HM	38.61	39.0	37.25	40.82	0	ENSG00000115317	ENSG00000166033	106	458
ENSP00000323867.5	ENSP00000387386.2	2uv4_1	NA	NA	2uv4_1	NA	P1_HM	67.63	69.23	73.77	65.85	0	ENSG00000181929	ENSG00000106617	144	340
ENSP00000323867.5	ENSP00000419493.2	2uv4_1	NA	NA	2uv4_1	NA	P1_HM	67.63	69.23	73.77	65.85	0	ENSG00000181929	ENSG00000106617	144	340
ENSP00000323867.5	ENSP00000499103.1	2uv4_1	NA	NA	2uv4_1	NA	P1_HM	67.63	69.23	73.77	65.85	0	ENSG00000181929	ENSG00000106617	144	340
ENSP00000263464.3	ENSP00000434979.1	3eb5_1	NA	NA	3eb5_1	NA	P1_HM	71.52	87.69	92.31	80.77	0	ENSG00000023445	ENSG00000110330	65	604
ENSP00000333982.7	ENSP00000379643.1	2v66_1	NA	NA	2v66_1	NA	P1_HM	52.82	74.77	74.77	0	0	ENSG00000166579	ENSG00000072864	111	345
ENSP00000333982.7	ENSP00000379642.1	2v66_1	NA	NA	2v66_1	NA	P1_HM	52.82	74.77	74.77	0	0	ENSG00000166579	ENSG00000072864	111	345
ENSP00000352222.4	ENSP00000361704.4	3ihl_1	NA	NA	3ihl_1	NA	P1_HM	74.28	83.26	88.79	78.57	1	ENSG00000047230	ENSG00000171793	233	586
ENSP00000277853.5	ENSP00000425824.1	NA	2w2c_1	NA	NA	2w2c_1	P2_HM	80.22	85.94	83.72	90.48	0	ENSG00000148660	ENSG00000145349	128	533
ENSP00000330032.4	ENSP00000474090.1	3euf_1	3p0f_1	NA	3euf_1	3p0f_1	P2_HM	52.67	65.86	72.17	61.71	0	ENSG00000183696	ENSG00000007001	293	374
ENSP00000378931.4	ENSP00000474090.1	NA	3p0f_1	NA	NA	3p0f_1	P2_HM	52.67	65.86	72.17	61.71	0	ENSG00000183696	ENSG00000007001	293	374
ENSP00000005178.5	ENSP00000282077.2	2zkj_1	NA	NA	2zkj_1	NA	P1_HM	60.73	69.77	74.07	68.5	1	ENSG00000004799	ENSG00000152256	355	411
ENSP00000005178.5	ENSP00000386985.1	2zkj_1	NA	NA	2zkj_1	NA	P1_HM	60.73	69.77	74.07	68.5	1	ENSG00000004799	ENSG00000152256	355	411
ENSP00000244458.2	ENSP00000263246.3	3hah_1	3abh_1	NA	3hah_1	3abh_1	P2_HM	61.48	74.46	72.87	77.78	1	ENSG00000124507	ENSG00000100266	278	486
ENSP00000263246.3	ENSP00000484060.1	3abh_1	NA	NA	3abh_1	NA	P1_HM	61.48	74.46	72.87	77.78	0	ENSG00000100266	ENSG00000124507	278	486
ENSP00000263246.3	ENSP00000439639.1	3abh_1	NA	NA	3abh_1	NA	P1_HM	61.48	74.46	72.87	77.78	0	ENSG00000100266	ENSG00000124507	278	486
ENSP00000303709.3	ENSP00000473639.1	3bzh_1	NA	NA	3bzh_1	NA	P1_HM	72.46	90.06	75.0	97.25	0	ENSG00000170142	ENSG00000170035	161	193
ENSP00000303709.3	ENSP00000386788.3	3bzh_1	NA	NA	3bzh_1	NA	P1_HM	72.46	90.06	75.0	97.25	0	ENSG00000170142	ENSG00000170035	161	193
ENSP00000303709.3	ENSP00000473623.1	3bzh_1	NA	NA	3bzh_1	NA	P1_HM	72.46	90.06	75.0	97.25	0	ENSG00000170142	ENSG00000170035	161	193
ENSP00000303709.3	ENSP00000376215.2	3bzh_1	NA	NA	3bzh_1	NA	P1_HM	72.46	90.06	75.0	97.25	1	ENSG00000170142	ENSG00000170035	161	193
ENSP00000371341.2	ENSP00000458834.1	4ewh_1	NA	NA	4id7_1	NA	P1_HM	26.49	50.38	50.0	50.42	0	ENSG00000061938	ENSG00000174292	268	1086
ENSP00000005756.4	ENSP00000330032.4	NA	3euf_1	NA	NA	3euf_1	P2_HM	60.88	65.19	68.14	63.33	1	ENSG00000007001	ENSG00000183696	293	310
ENSP00000315931.3	ENSP00000358814.5	3gvp_1	NA	NA	3gvp_1	NA	P1_HM	74.96	93.07	95.0	92.15	1	ENSG00000158467	ENSG00000168710	433	611
ENSP00000222286.3	ENSP00000380070.1	3h9e_1	NA	NA	3h9e_1	NA	P1_HM	55.5	68.17	84.5	57.84	1	ENSG00000105679	ENSG00000111640	0	408
ENSP00000222286.3	ENSP00000380068.1	3h9e_1	NA	NA	3h9e_1	NA	P1_HM	55.5	68.17	84.5	57.84	1	ENSG00000105679	ENSG00000111640	0	408
ENSP00000244458.2	ENSP00000385952.1	3hah_1	NA	NA	3hah_1	NA	P1_HM	67.19	74.72	73.4	78.79	0	ENSG00000124507	ENSG00000100266	269	444
ENSP00000244458.2	ENSP00000338379.4	3hah_1	NA	NA	3hah_1	NA	P1_HM	67.19	74.72	73.4	78.79	0	ENSG00000124507	ENSG00000100266	269	444
ENSP00000255499.2	ENSP00000425840.1	3icu_1	NA	NA	3icu_1	NA	P1_HM	33.63	38.41	45.65	35.59	1	ENSG00000133135	ENSG00000170153	171	428
ENSP00000255499.2	ENSP00000295317.3	3icu_1	NA	NA	3icu_1	NA	P1_HM	32.35	41.32	48.94	38.33	1	ENSG00000133135	ENSG00000163162	171	428
ENSP00000255499.2	ENSP00000429509.1	3icu_1	NA	NA	3icu_1	NA	P1_HM	31.83	36.65	46.67	32.76	0	ENSG00000133135	ENSG00000113269	171	428
ENSP00000352222.4	ENSP00000497602.1	3ihl_1	NA	NA	3ihl_1	NA	P1_HM	74.28	83.26	88.79	78.57	0	ENSG00000047230	ENSG00000171793	233	586
ENSP00000352222.4	ENSP00000497744.1	3ihl_1	NA	NA	3ihl_1	NA	P1_HM	74.28	83.26	88.79	78.57	0	ENSG00000047230	ENSG00000171793	233	586
ENSP00000352222.4	ENSP00000361699.1	3ihl_1	NA	NA	3ihl_1	NA	P1_HM	74.28	83.26	88.79	78.57	1	ENSG00000047230	ENSG00000171793	233	586
ENSP00000261366.5	ENSP00000357284.2	3tyy_1	NA	NA	3tyy_1	NA	P1_HM	50.66	65.33	63.38	100.0	0	ENSG00000113368	ENSG00000160789	75	586
ENSP00000333657.3	ENSP00000381601.2	NA	3ljb_1	NA	NA	3ljb_1	P2_HM	53.84	47.93	50.0	47.51	1	ENSG00000183486	ENSG00000157601	219	662
ENSP00000257749.4	ENSP00000382805.1	3ohu_1	NA	NA	3ohu_1	NA	P1_HM	29.54	63.93	65.52	60.0	1	ENSG00000112182	ENSG00000156273	125	841
ENSP00000318868.3	ENSP00000333667.3	NA	4pvf_1	NA	NA	4pvf_1	P2_HM	59.76	65.04	70.05	60.82	1	ENSG00000176974	ENSG00000182199	453	504
ENSP00000343966.4	ENSP00000362963.3	5ifn_1	NA	NA	5ifn_1	NA	P1_HM	55.26	73.54	77.46	65.48	1	ENSG00000121390	ENSG00000147140	257	523
ENSP00000343966.4	ENSP00000362947.1	5ifn_1	NA	NA	5ifn_1	NA	P1_HM	55.26	73.54	77.46	65.48	1	ENSG00000121390	ENSG00000147140	257	523
ENSP00000343966.4	ENSP00000349748.5	5ifn_1	4wii_1	NA	5ifn_1	4wii_1	P1_HM	38.59	73.54	72.83	75.0	0	ENSG00000121390	ENSG00000116560	257	523
ENSP00000343966.4	ENSP00000349748.5	5ifn_1	4wii_1	NA	5ifn_1	4wii_1	P2_HM	40.57	74.21	74.7	73.26	0	ENSG00000121390	ENSG00000116560	253	707
ENSP00000468406.1	ENSP00000494051.1	NA	4z54_1	NA	NA	4z54_1	P2_HM	33.64	73.53	80.0	71.5	0	ENSG00000184640	ENSG00000100167	273	856
ENSP00000268231.7	ENSP00000494051.1	NA	4z54_1	NA	NA	4z54_1	P2_HM	22.87	63.1	69.23	61.17	0	ENSG00000140623	ENSG00000100167	273	856
ENSP00000234091.4	ENSP00000365280.3	4aya_1	NA	NA	4aya_1	NA	P1_HM	35.76	64.91	68.18	53.85	1	ENSG00000115738	ENSG00000125968	59	134
ENSP00000321606.7	ENSP00000339850.3	4b3z_1	NA	NA	4b3z_1	NA	P1_HM	56.27	70.17	66.39	71.43	0	ENSG00000072832	ENSG00000151640	476	686
ENSP00000321606.7	ENSP00000343690.5	4b3z_1	NA	NA	4b3z_1	NA	P1_HM	68.7	76.05	76.47	75.91	0	ENSG00000072832	ENSG00000113657	476	686
ENSP00000321606.7	ENSP00000427985.2	4b3z_1	5x1c_1	NA	4b3z_1	5x1c_1	P1_HM	67.88	75.84	71.43	77.31	0	ENSG00000072832	ENSG00000092964	476	686
ENSP00000321606.7	ENSP00000427985.2	4b3z_1	5x1c_1	NA	4b3z_1	5x1c_1	P2_HM	67.88	75.62	72.86	76.09	0	ENSG00000072832	ENSG00000092964	484	677
ENSP00000353114.4	ENSP00000367263.4	4cn0_1	NA	NA	4cn0_1	NA	P1_HM	22.85	29.58	29.69	28.57	1	ENSG00000185567	ENSG00000124942	87	5795
ENSP00000300161.4	ENSP00000379287.2	5n10_1	NA	NA	4dnk_1	NA	P1_HM	85.83	88.44	90.7	87.91	1	ENSG00000166913	ENSG00000164924	225	246
ENSP00000300161.4	ENSP00000379286.3	5n10_1	NA	NA	4dnk_1	NA	P1_HM	85.83	88.44	90.7	87.91	1	ENSG00000166913	ENSG00000164924	225	246
ENSP00000300161.4	ENSP00000309503.3	5n10_1	NA	NA	4dnk_1	NA	P1_HM	85.83	88.44	90.7	87.91	1	ENSG00000166913	ENSG00000164924	225	246
ENSP00000300161.4	ENSP00000379283.2	5n10_1	NA	NA	4dnk_1	NA	P1_HM	85.83	88.44	90.7	87.91	1	ENSG00000166913	ENSG00000164924	225	246
ENSP00000300161.4	ENSP00000379281.3	5n10_1	NA	NA	4dnk_1	NA	P1_HM	85.83	88.44	90.7	87.91	1	ENSG00000166913	ENSG00000164924	225	246
ENSP00000300161.4	ENSP00000395114.2	5n10_1	NA	NA	4dnk_1	NA	P1_HM	85.83	88.44	90.7	87.91	1	ENSG00000166913	ENSG00000164924	225	246
ENSP00000300161.4	ENSP00000379288.2	5n10_1	NA	NA	4dnk_1	NA	P1_HM	85.83	88.44	90.7	87.91	1	ENSG00000166913	ENSG00000164924	225	246
ENSP00000300161.4	ENSP00000398599.1	5n10_1	NA	NA	4dnk_1	NA	P1_HM	85.83	88.44	90.7	87.91	1	ENSG00000166913	ENSG00000164924	225	246
ENSP00000338093.3	ENSP00000387710.2	NA	4hwt_1	NA	NA	4hwt_1	P2_HM	61.67	77.47	72.22	79.44	0	ENSG00000185418	ENSG00000113407	395	756
ENSP00000364475.4	ENSP00000364486.3	4mjo_1	NA	NA	4mjo_1	NA	P1_HM	76.4	77.43	81.63	73.84	1	ENSG00000165140	ENSG00000130957	319	338
ENSP00000282077.2	ENSP00000420927.1	NA	5j71_1	NA	NA	5j71_1	P2_HM	63.47	72.11	78.41	69.88	1	ENSG00000152256	ENSG00000005882	338	407
ENSP00000386985.1	ENSP00000420927.1	NA	5j71_1	NA	NA	5j71_1	P2_HM	63.47	72.11	78.41	69.88	1	ENSG00000152256	ENSG00000005882	338	407
ENSP00000365682.3	ENSP00000365735.2	4om2_1	NA	NA	4om2_1	NA	P1_HM	85.49	94.59	93.94	100.0	1	ENSG00000196781	ENSG00000106829	112	770
ENSP00000317537.3	ENSP00000365682.3	NA	4om2_1	NA	NA	4om2_1	P2_HM	17.23	81.08	80.81	83.33	0	ENSG00000104964	ENSG00000196781	112	770
ENSP00000246112.3	ENSP00000365682.3	NA	4om2_1	NA	NA	4om2_1	P2_HM	19.11	16.25	13.51	50.0	0	ENSG00000104953	ENSG00000196781	112	770
ENSP00000365682.3	ENSP00000453083.1	4om2_1	NA	NA	4om2_1	NA	P1_HM	80.1	89.29	88.0	100.0	0	ENSG00000196781	ENSG00000140332	112	770
ENSP00000365682.3	ENSP00000453107.1	4om2_1	NA	NA	4om2_1	NA	P1_HM	80.1	89.29	88.0	100.0	0	ENSG00000196781	ENSG00000140332	112	770
ENSP00000365682.3	ENSP00000453435.1	4om2_1	NA	NA	4om2_1	NA	P1_HM	80.1	89.29	88.0	100.0	0	ENSG00000196781	ENSG00000140332	112	770
ENSP00000365682.3	ENSP00000466542.1	4om2_1	NA	NA	4om2_1	NA	P1_HM	67.18	86.36	86.0	90.0	0	ENSG00000196781	ENSG00000065717	112	770
ENSP00000269848.6	ENSP00000370517.4	NA	4xz2_1	NA	NA	4xz2_1	P2_HM	65.74	69.22	78.29	67.19	1	ENSG00000141959	ENSG00000067057	708	784
ENSP00000339916.4	ENSP00000444452.1	4tpt_1	NA	NA	4tpt_1	NA	P1_HM	47.12	70.23	80.9	64.74	0	ENSG00000182541	ENSG00000106683	279	686
ENSP00000297785.3	ENSP00000332256.5	5l2m_1	5fhz_1	NA	5l2m_1	5fhz_1	P1_HM	68.36	70.59	72.07	69.75	1	ENSG00000165092	ENSG00000184254	493	501
ENSP00000297785.3	ENSP00000332256.5	5l2m_1	5fhz_1	NA	5l2m_1	5fhz_1	P2_HM	68.36	70.96	72.0	70.5	1	ENSG00000165092	ENSG00000184254	489	512
ENSP00000349748.5	ENSP00000362963.3	4wii_1	NA	NA	4wii_1	NA	P1_HM	39.86	71.15	72.89	67.82	0	ENSG00000116560	ENSG00000147140	253	707
ENSP00000349748.5	ENSP00000362947.1	4wii_1	NA	NA	4wii_1	NA	P1_HM	39.86	71.15	72.89	67.82	0	ENSG00000116560	ENSG00000147140	253	707
ENSP00000349748.5	ENSP00000481916.1	4wii_1	NA	NA	4wii_1	NA	P1_HM	40.57	74.21	74.7	73.26	0	ENSG00000116560	ENSG00000121390	253	707
ENSP00000343690.5	ENSP00000427985.2	NA	5x1c_1	NA	NA	5x1c_1	P2_HM	68.7	77.27	81.43	76.57	0	ENSG00000113657	ENSG00000092964	484	677
ENSP00000339850.3	ENSP00000427985.2	NA	5x1c_1	NA	NA	5x1c_1	P2_HM	62.92	77.15	72.86	77.89	0	ENSG00000151640	ENSG00000092964	484	677
